Ticker,Weight
NVDA,7.815030
AAPL,6.585346
MSFT,4.976637
AMZN,4.306109
GOOGL,3.615315
AVGO,3.199621
GOOG,2.877353
META,2.163669
TSLA,1.789080
BRK-B,1.392412
JPM,1.344361
LLY,1.243128
MU,1.051231
XOM,1.040958
WMT,0.925998
AMD,0.902698
V,0.890604
JNJ,0.875717
COST,0.728777
INTC,0.728651
MA,0.666312
CAT,0.659823
NFLX,0.622926
ABBV,0.596348
CSCO,0.593204
CVX,0.584240
BAC,0.561374
UNH,0.543916
PLTR,0.540319
PG,0.539868
LRCX,0.522969
HD,0.503757
AMAT,0.503146
ORCL,0.495340
KO,0.490280
GE,0.476529
GEV,0.468805
MRK,0.455108
GS,0.438720
PM,0.426544
TXN,0.410691
WFC,0.396570
RTX,0.375883
LIN,0.373247
MS,0.366281
KLAC,0.363633
C,0.355500
IBM,0.347394
PEP,0.342134
MCD,0.327647
VZ,0.324856
NEE,0.322098
ADI,0.314089
SNDK,0.300981
T,0.295878
QCOM,0.290869
DIS,0.290607
ANET,0.288586
AMGN,0.282381
BA,0.281796
TMO,0.281434
CRM,0.281424
APH,0.280881
TJX,0.278059
AXP,0.276805
GILD,0.266570
ETN,0.266174
STX,0.261533
ISRG,0.260180
UNP,0.253533
SCHW,0.247898
COP,0.247782
ABT,0.246489
UBER,0.246358
BLK,0.245817
WELL,0.245489
WDC,0.242744
PFE,0.242654
PANW,0.241642
DE,0.236451
BKNG,0.216387
HON,0.215433
SPGI,0.210414
PLD,0.208807
APP,0.208761
VRT,0.205151
LOW,0.203537
GLW,0.202690
MO,0.199987
SBUX,0.193561
COF,0.192172
CRWD,0.191877
NEM,0.191755
CB,0.191437
PGR,0.189484
BMY,0.189463
INTU,0.183348
PWR,0.183314
ACN,0.179416
DHR,0.177485
VRTX,0.177263
PH,0.177255
TT,0.174274
EQIX,0.172353
SO,0.171072
LMT,0.169848
CME,0.169445
CVS,0.168974
ADBE,0.168735
MDT,0.162486
SYK,0.162366
CEG,0.161914
DUK,0.160709
MCK,0.160148
CMCSA,0.157222
NOW,0.155866
HWM,0.155529
CDNS,0.154333
SNPS,0.154204
BX,0.149311
TMUS,0.149093
WMB,0.149030
CMI,0.146918
BK,0.146854
GD,0.143850
ICE,0.143767
JCI,0.143434
PNC,0.142692
USB,0.139325
ADP,0.137680
WM,0.137295
