date,SPY_close,SMA200,daily_ret,equity,pct_from_sma200,w_long,w_safe,w_other,TQQQ_value,SPY_value
2022-01-04,477.55,438.07,-0.0000,10000.00,9.01,0.00,0.00,0.00,0.00,0.00
2022-01-05,468.38,438.46,-0.0920,9080.13,6.82,1.00,0.00,0.00,0.00,0.00
2022-01-06,467.94,438.86,-0.0027,9055.20,6.63,1.00,0.00,0.00,0.00,0.00
2022-01-07,466.09,439.24,-0.0327,8759.12,6.11,1.00,0.00,0.00,0.00,0.00
2022-01-10,465.51,439.59,0.0037,8791.35,5.90,1.00,0.00,0.00,0.00,0.00
2022-01-11,469.75,439.96,0.0440,9178.02,6.77,1.00,0.00,0.00,0.00,0.00
2022-01-12,471.02,440.34,0.0114,9282.59,6.97,1.00,0.00,0.00,0.00,0.00
2022-01-13,464.53,440.68,-0.0726,8608.95,5.41,1.00,0.00,0.00,0.00,0.00
2022-01-14,464.72,441.00,0.0151,8739.06,5.38,1.00,0.00,0.00,0.00,0.00
2022-01-18,456.49,441.26,-0.0721,8109.19,3.45,1.00,0.00,0.00,0.00,0.00
2022-01-19,451.75,441.48,-0.0348,7827.09,2.33,1.00,0.00,0.00,0.00,0.00
2022-01-20,446.75,441.68,-0.0387,7524.32,1.15,1.00,0.00,0.00,0.00,0.00
2022-01-21,437.98,441.83,-0.0842,6890.81,-0.87,1.00,0.00,0.00,0.00,0.00
2022-01-24,439.84,441.97,0.0042,6920.07,-0.48,0.00,1.00,0.00,0.00,6920.07
2022-01-25,434.47,442.09,-0.0122,6835.59,-1.72,0.00,1.00,0.00,0.00,6835.59
2022-01-26,433.38,442.19,-0.0025,6818.44,-1.99,0.00,1.00,0.00,0.00,6818.44
2022-01-27,431.24,442.29,-0.0049,6784.77,-2.50,0.00,1.00,0.00,0.00,6784.77
2022-01-28,441.95,442.42,0.0248,6953.27,-0.11,0.00,1.00,0.00,0.00,6953.27
2022-01-31,449.91,442.58,0.0180,7078.50,1.66,0.00,1.00,0.00,0.00,7078.50
2022-02-01,452.95,442.77,0.0191,7213.59,2.30,1.00,0.00,0.00,0.00,0.00
2022-02-02,457.35,443.00,0.0236,7384.18,3.24,1.00,0.00,0.00,0.00,0.00
2022-02-03,446.60,443.15,-0.1203,6495.78,0.78,1.00,0.00,0.00,0.00,0.00
2022-02-04,448.70,443.33,0.0345,6720.17,1.21,1.00,0.00,0.00,0.00,0.00
2022-02-07,447.26,443.48,-0.0227,6567.91,0.85,1.00,0.00,0.00,0.00,0.00
2022-02-08,450.94,443.65,0.0340,6791.15,1.64,1.00,0.00,0.00,0.00,0.00
2022-02-09,457.54,443.85,0.0620,7212.45,3.08,1.00,0.00,0.00,0.00,0.00
2022-02-10,449.32,444.01,-0.0663,6733.91,1.20,1.00,0.00,0.00,0.00,0.00
2022-02-11,440.46,444.11,-0.0942,6099.67,-0.82,1.00,0.00,0.00,0.00,0.00
2022-02-14,439.02,444.22,-0.0033,6079.73,-1.17,0.00,1.00,0.00,0.00,6079.73
2022-02-15,446.10,444.36,0.0161,6177.78,0.39,0.00,1.00,0.00,0.00,6177.78
2022-02-16,446.60,444.52,-0.0002,6176.70,0.47,1.00,0.00,0.00,0.00,0.00
