,0,1,2,3,4
FreeCashFlow,2921000000.0,3126000000.0,2126000000.0,2144000000.0,2456000000.0
RepurchaseOfCapitalStock,-2478000000.0,-2474000000.0,-2057000000.0,-3500000000.0,-3250000000.0
RepaymentOfDebt,0.0,0.0,0.0,0.0,-1500000000.0
IssuanceOfDebt,0.0,0.0,0.0,0.0,1997000000.0
IssuanceOfCapitalStock,84000000.0,0.0,252000000.0,0.0,96000000.0
CapitalExpenditure,-37000000.0,-34000000.0,-72000000.0,-47000000.0,-26000000.0
InterestPaidSupplementalData,79000000.0,50000000.0,81000000.0,67000000.0,48000000.0
IncomeTaxPaidSupplementalData,125000000.0,514000000.0,523000000.0,1000000000.0,182000000.0
EndCashPosition,6332000000.0,5431000000.0,4982000000.0,4931000000.0,6758000000.0
BeginningCashPosition,5431000000.0,4982000000.0,4931000000.0,6758000000.0,7613000000.0
EffectOfExchangeRateChanges,13000000.0,-10000000.0,8000000.0,48000000.0,-12000000.0
ChangesInCash,888000000.0,459000000.0,43000000.0,-1875000000.0,-843000000.0
FinancingCashFlow,-2544000000.0,-2555000000.0,-1876000000.0,-3788000000.0,-2841000000.0
CashFlowFromContinuingFinancingActivities,-2544000000.0,-2555000000.0,-1876000000.0,-3788000000.0,-2841000000.0
NetOtherFinancingCharges,-150000000.0,-81000000.0,-71000000.0,-288000000.0,-184000000.0
NetCommonStockIssuance,-2394000000.0,-2474000000.0,-1805000000.0,-3500000000.0,-3154000000.0
CommonStockPayments,-2478000000.0,-2474000000.0,-2057000000.0,-3500000000.0,-3250000000.0
CommonStockIssuance,84000000.0,0.0,252000000.0,0.0,96000000.0
NetIssuancePaymentsOfDebt,0.0,0.0,0.0,0.0,497000000.0
NetLongTermDebtIssuance,0.0,0.0,0.0,0.0,497000000.0
LongTermDebtPayments,0.0,0.0,0.0,0.0,-1500000000.0
LongTermDebtIssuance,0.0,0.0,0.0,0.0,1997000000.0
InvestingCashFlow,474000000.0,-146000000.0,-279000000.0,-278000000.0,-484000000.0
CashFlowFromContinuingInvestingActivities,474000000.0,-146000000.0,-279000000.0,-278000000.0,-484000000.0
NetOtherInvestingChanges,1000000.0,,,,2000000.0
NetInvestmentPurchaseAndSale,510000000.0,-115000000.0,-190000000.0,-229000000.0,-460000000.0
SaleOfInvestment,920000000.0,486000000.0,440000000.0,116000000.0,132000000.0
PurchaseOfInvestment,-410000000.0,-601000000.0,-630000000.0,-345000000.0,-592000000.0
NetBusinessPurchaseAndSale,,0.0,,,
PurchaseOfBusiness,,0.0,,,
NetPPEPurchaseAndSale,-37000000.0,-34000000.0,-72000000.0,-47000000.0,-26000000.0
PurchaseOfPPE,-37000000.0,-34000000.0,-72000000.0,-47000000.0,-26000000.0
OperatingCashFlow,2958000000.0,3160000000.0,2198000000.0,2191000000.0,2482000000.0
CashFlowFromContinuingOperatingActivities,2958000000.0,3160000000.0,2198000000.0,2191000000.0,2482000000.0
ChangeInWorkingCapital,276000000.0,741000000.0,-178000000.0,-89000000.0,131000000.0
ChangeInOtherWorkingCapital,340000000.0,496000000.0,200000000.0,-156000000.0,231000000.0
ChangeInPayablesAndAccruedExpense,-76000000.0,428000000.0,-83000000.0,-105000000.0,-41000000.0
ChangeInAccruedExpense,-450000000.0,375000000.0,-103000000.0,286000000.0,-378000000.0
ChangeInPayable,374000000.0,53000000.0,20000000.0,-391000000.0,337000000.0
ChangeInAccountPayable,3000000.0,87000000.0,-30000000.0,35000000.0,-28000000.0
ChangeInTaxPayable,371000000.0,-34000000.0,50000000.0,-426000000.0,365000000.0
ChangeInIncomeTaxPayable,371000000.0,-34000000.0,50000000.0,-426000000.0,365000000.0
ChangeInPrepaidAssets,-240000000.0,67000000.0,64000000.0,-65000000.0,-156000000.0
ChangeInReceivables,252000000.0,-250000000.0,-359000000.0,237000000.0,97000000.0
ChangesInAccountReceivables,252000000.0,-250000000.0,-359000000.0,237000000.0,97000000.0
OtherNonCashItems,46000000.0,11000000.0,2000000.0,18000000.0,17000000.0
StockBasedCompensation,509000000.0,489000000.0,497000000.0,481000000.0,475000000.0
UnrealizedGainLossOnInvestmentSecurities,,,,,
DeferredTax,64000000.0,-121000000.0,-103000000.0,-119000000.0,-169000000.0
DeferredIncomeTax,64000000.0,-121000000.0,-103000000.0,-119000000.0,-169000000.0
DepreciationAmortizationDepletion,174000000.0,184000000.0,208000000.0,209000000.0,217000000.0
DepreciationAndAmortization,174000000.0,184000000.0,208000000.0,209000000.0,217000000.0
Depreciation,174000000.0,184000000.0,208000000.0,209000000.0,217000000.0
OperatingGainsLosses,,,,,
GainLossOnSaleOfPPE,,,,,
NetIncomeFromContinuingOperations,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0
asOfDate,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
