,0,1,2,3,4
TaxEffectOfUnusualItems,1100330.305533,-720848.056537,4370000.0,400000.0,1020164.986251
TaxRateForCalcs,0.220066,0.180212,0.19,0.2,0.170027
NormalizedEBITDA,2654000000.0,2518000000.0,2439000000.0,2376000000.0,2455000000.0
TotalUnusualItems,5000000.0,-4000000.0,23000000.0,2000000.0,6000000.0
TotalUnusualItemsExcludingGoodwill,5000000.0,-4000000.0,23000000.0,2000000.0,6000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0
ReconciledDepreciation,174000000.0,184000000.0,208000000.0,209000000.0,217000000.0
ReconciledCostOfRevenue,525000000.0,502000000.0,472000000.0,470000000.0,446000000.0
EBITDA,2659000000.0,2514000000.0,2462000000.0,2378000000.0,2461000000.0
EBIT,2485000000.0,2330000000.0,2254000000.0,2169000000.0,2244000000.0
NetInterestIncome,-63000000.0,198000000.0,-67000000.0,-68000000.0,-62000000.0
InterestExpense,63000000.0,66000000.0,67000000.0,68000000.0,62000000.0
NormalizedIncome,1885100330.305533,1859279151.943463,1753370000.0,1689400000.0,1806020164.986251
NetIncomeFromContinuingAndDiscontinuedOperation,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0
TotalExpenses,3980000000.0,3933000000.0,3815000000.0,3764000000.0,3551000000.0
TotalOperatingIncomeAsReported,2418000000.0,2261000000.0,2173000000.0,2109000000.0,2163000000.0
DilutedAverageShares,411000000.0,417000000.0,424000000.0,429000000.0,438000000.0
BasicAverageShares,410000000.0,417000000.0,423000000.0,428000000.0,436000000.0
DilutedEPS,4.6,4.45,4.18,3.94,4.14
BasicEPS,4.6,4.45,4.18,3.95,4.15
DilutedNIAvailtoComStockholders,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0
NetIncomeCommonStockholders,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0
NetIncome,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0
NetIncomeIncludingNoncontrollingInterests,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0
NetIncomeContinuousOperations,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0
TaxProvision,533000000.0,408000000.0,415000000.0,410000000.0,371000000.0
PretaxIncome,2422000000.0,2264000000.0,2187000000.0,2101000000.0,2182000000.0
OtherIncomeExpense,67000000.0,-195000000.0,81000000.0,60000000.0,81000000.0
OtherNonOperatingIncomeExpenses,62000000.0,,58000000.0,58000000.0,75000000.0
SpecialIncomeCharges,,0.0,0.0,0.0,0.0
RestructuringAndMergernAcquisition,,0.0,0.0,0.0,0.0
GainOnSaleOfSecurity,5000000.0,-4000000.0,23000000.0,2000000.0,6000000.0
NetNonOperatingInterestIncomeExpense,-63000000.0,198000000.0,-67000000.0,-68000000.0,-62000000.0
InterestExpenseNonOperating,63000000.0,66000000.0,67000000.0,68000000.0,62000000.0
OperatingIncome,2418000000.0,2261000000.0,2173000000.0,2109000000.0,2163000000.0
OperatingExpense,3316000000.0,3284000000.0,3173000000.0,3126000000.0,2929000000.0
DepreciationAmortizationDepletionIncomeStatement,35000000.0,37000000.0,38000000.0,41000000.0,41000000.0
DepreciationAndAmortizationInIncomeStatement,35000000.0,37000000.0,38000000.0,41000000.0,41000000.0
Amortization,35000000.0,37000000.0,38000000.0,41000000.0,41000000.0
AmortizationOfIntangiblesIncomeStatement,35000000.0,37000000.0,38000000.0,41000000.0,41000000.0
ResearchAndDevelopment,1110000000.0,1098000000.0,1088000000.0,1082000000.0,1026000000.0
SellingGeneralAndAdministration,2171000000.0,2149000000.0,2047000000.0,2003000000.0,1862000000.0
SellingAndMarketingExpense,1708000000.0,1728000000.0,1639000000.0,1626000000.0,1495000000.0
GeneralAndAdministrativeExpense,463000000.0,421000000.0,408000000.0,377000000.0,367000000.0
OtherGandA,463000000.0,421000000.0,408000000.0,377000000.0,367000000.0
GrossProfit,5734000000.0,5545000000.0,5346000000.0,5235000000.0,5092000000.0
CostOfRevenue,664000000.0,649000000.0,642000000.0,638000000.0,622000000.0
TotalRevenue,6398000000.0,6194000000.0,5988000000.0,5873000000.0,5714000000.0
OperatingRevenue,6398000000.0,6194000000.0,5988000000.0,5873000000.0,5714000000.0
asOfDate,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
