,0,1,2,3,4
TreasurySharesNumber,65000000.0,65000000.0,62000000.0,65000000.0,58000000.0
OrdinarySharesNumber,1630000000.0,1628000000.0,1622000000.0,1624335849.0,1622000000.0
ShareIssued,1695000000.0,1693000000.0,1684000000.0,1689335849.0,1680000000.0
TotalDebt,3847000000.0,3870000000.0,3886000000.0,4731000000.0,2212000000.0
TangibleBookValue,21168000000.0,18457000000.0,16770000000.0,14679000000.0,13799000000.0
InvestedCapital,66221000000.0,64010000000.0,62883000000.0,62045000000.0,59289000000.0
WorkingCapital,17492000000.0,15300000000.0,14676000000.0,13892000000.0,11768000000.0
NetTangibleAssets,21168000000.0,18457000000.0,16770000000.0,14679000000.0,13799000000.0
CapitalLeaseObligations,625000000.0,650000000.0,668000000.0,567000000.0,491000000.0
CommonStockEquity,62999000000.0,60790000000.0,59665000000.0,57881000000.0,57568000000.0
TotalCapitalization,65347000000.0,63137000000.0,62883000000.0,61098000000.0,59289000000.0
TotalEquityGrossMinorityInterest,62999000000.0,60790000000.0,59665000000.0,57881000000.0,57568000000.0
StockholdersEquity,62999000000.0,60790000000.0,59665000000.0,57881000000.0,57568000000.0
GainsLossesNotAffectingRetainedEarnings,-3000000.0,-13000000.0,10000000.0,-40000000.0,-69000000.0
OtherEquityAdjustments,-3000000.0,-13000000.0,10000000.0,-40000000.0,-69000000.0
TreasuryStock,7079000000.0,7059000000.0,6535000000.0,6899000000.0,6106000000.0
RetainedEarnings,6699000000.0,5188000000.0,3945000000.0,3073000000.0,2364000000.0
AdditionalPaidInCapital,63365000000.0,62657000000.0,62228000000.0,61730000000.0,61362000000.0
CapitalStock,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0
CommonStock,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0
TotalLiabilitiesNetMinorityInterest,13927000000.0,16101000000.0,15155000000.0,13669000000.0,11658000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,4472000000.0,4401000000.0,5312000000.0,5966000000.0,4377000000.0
OtherNonCurrentLiabilities,1186000000.0,1078000000.0,1085000000.0,1839000000.0,1816000000.0
NonCurrentDeferredLiabilities,313000000.0,326000000.0,341000000.0,343000000.0,349000000.0
NonCurrentDeferredTaxesLiabilities,313000000.0,326000000.0,341000000.0,343000000.0,349000000.0
LongTermDebtAndCapitalLeaseObligation,2973000000.0,2997000000.0,3886000000.0,3784000000.0,2212000000.0
LongTermCapitalLeaseObligation,625000000.0,650000000.0,668000000.0,567000000.0,491000000.0
LongTermDebt,2348000000.0,2347000000.0,3218000000.0,3217000000.0,1721000000.0
CurrentLiabilities,9455000000.0,11700000000.0,9843000000.0,7703000000.0,7281000000.0
OtherCurrentLiabilities,402000000.0,2232000000.0,2284000000.0,674000000.0,555000000.0
CurrentDebtAndCapitalLeaseObligation,874000000.0,873000000.0,,947000000.0,
CurrentDebt,874000000.0,873000000.0,,947000000.0,
OtherCurrentBorrowings,874000000.0,,,,
PensionandOtherPostRetirementBenefitPlansCurrent,1645000000.0,1425000000.0,948000000.0,872000000.0,1174000000.0
PayablesAndAccruedExpenses,6534000000.0,7170000000.0,6611000000.0,5210000000.0,5552000000.0
CurrentAccruedExpenses,3605000000.0,3687000000.0,3531000000.0,3004000000.0,3086000000.0
Payables,2929000000.0,3483000000.0,3080000000.0,2206000000.0,2466000000.0
DuetoRelatedPartiesCurrent,,,,,476000000.0
AccountsPayable,2929000000.0,3483000000.0,3080000000.0,2206000000.0,2466000000.0
TotalAssets,76926000000.0,76891000000.0,74820000000.0,71550000000.0,69226000000.0
TotalNonCurrentAssets,49979000000.0,49891000000.0,50301000000.0,49955000000.0,50177000000.0
OtherNonCurrentAssets,5452000000.0,4720000000.0,4418000000.0,3987000000.0,3918000000.0
NonCurrentDeferredAssets,384000000.0,633000000.0,860000000.0,845000000.0,688000000.0
NonCurrentDeferredTaxesAssets,384000000.0,633000000.0,860000000.0,845000000.0,688000000.0
InvestmentsAndAdvances,,,,,149000000.0
LongTermEquityInvestment,,,,,149000000.0
GoodwillAndOtherIntangibleAssets,41831000000.0,42333000000.0,42895000000.0,43202000000.0,43769000000.0
OtherIntangibleAssets,16705000000.0,17250000000.0,17812000000.0,18363000000.0,18930000000.0
Goodwill,25126000000.0,25083000000.0,25083000000.0,24839000000.0,24839000000.0
NetPPE,2312000000.0,2205000000.0,2128000000.0,1921000000.0,1802000000.0
AccumulatedDepreciation,-2616000000.0,-2523000000.0,-2434000000.0,-2269000000.0,-2173000000.0
GrossPPE,4928000000.0,4728000000.0,4562000000.0,4190000000.0,3975000000.0
ConstructionInProgress,508000000.0,590000000.0,575000000.0,445000000.0,324000000.0
OtherProperties,3453000000.0,3183000000.0,3065000000.0,2864000000.0,2798000000.0
Properties,967000000.0,955000000.0,922000000.0,881000000.0,853000000.0
CurrentAssets,26947000000.0,27000000000.0,24519000000.0,21595000000.0,19049000000.0
OtherCurrentAssets,2160000000.0,1941000000.0,1963000000.0,1583000000.0,1991000000.0
AssetsHeldForSaleCurrent,,3990000000.0,4326000000.0,,
Inventory,7920000000.0,7313000000.0,6677000000.0,6416000000.0,5734000000.0
FinishedGoods,2243000000.0,2236000000.0,1871000000.0,1358000000.0,1094000000.0
WorkInProcess,4768000000.0,4401000000.0,4167000000.0,4498000000.0,4289000000.0
RawMaterials,909000000.0,676000000.0,639000000.0,560000000.0,351000000.0
Receivables,6315000000.0,6513000000.0,5686000000.0,6286000000.0,6192000000.0
OtherReceivables,,312000000.0,571000000.0,843000000.0,628000000.0
DuefromRelatedPartiesCurrent,,,,,113000000.0
AccountsReceivable,6315000000.0,6201000000.0,5115000000.0,5443000000.0,6192000000.0
CashCashEquivalentsAndShortTermInvestments,10552000000.0,7243000000.0,5867000000.0,7310000000.0,5132000000.0
OtherShortTermInvestments,5013000000.0,2435000000.0,1425000000.0,1261000000.0,1345000000.0
CashAndCashEquivalents,5539000000.0,4808000000.0,4442000000.0,6049000000.0,3787000000.0
asOfDate,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
