,0,1,2,3,4
FreeCashFlow,2378000000.0,1901000000.0,1729000000.0,727000000.0,1091000000.0
RepurchaseOfCapitalStock,-160000000.0,-460000000.0,-524000000.0,-779000000.0,-298000000.0
RepaymentOfDebt,0.0,0.0,,,0.0
IssuanceOfDebt,0.0,0.0,0.0,2441000000.0,
CapitalExpenditure,-222000000.0,-258000000.0,-282000000.0,-212000000.0,-208000000.0
IncomeTaxPaidSupplementalData,,,632000000.0,128000000.0,375000000.0
EndCashPosition,5556000000.0,4825000000.0,4453000000.0,6059000000.0,3811000000.0
BeginningCashPosition,4825000000.0,4453000000.0,6059000000.0,3811000000.0,3897000000.0
ChangesInCash,731000000.0,372000000.0,-1606000000.0,2248000000.0,-86000000.0
FinancingCashFlow,-328000000.0,-450000000.0,-1319000000.0,1666000000.0,-171000000.0
CashFlowFromContinuingFinancingActivities,-328000000.0,-450000000.0,-1319000000.0,1666000000.0,-171000000.0
NetOtherFinancingCharges,,,,,0.0
ProceedsFromStockOptionExercised,116000000.0,10000000.0,155000000.0,4000000.0,127000000.0
NetCommonStockIssuance,-160000000.0,-460000000.0,-524000000.0,-779000000.0,-298000000.0
CommonStockPayments,-160000000.0,-460000000.0,-524000000.0,-779000000.0,-298000000.0
NetIssuancePaymentsOfDebt,0.0,0.0,-950000000.0,2441000000.0,0.0
NetShortTermDebtIssuance,,,,947000000.0,
ShortTermDebtIssuance,,,,947000000.0,
NetLongTermDebtIssuance,0.0,0.0,-3000000.0,1494000000.0,0.0
LongTermDebtPayments,0.0,0.0,,,0.0
LongTermDebtIssuance,0.0,0.0,947000000.0,1494000000.0,
InvestingCashFlow,-1541000000.0,-1337000000.0,-2298000000.0,-357000000.0,-1214000000.0
CashFromDiscontinuedInvestingActivities,1348000000.0,-8000000.0,,,
CashFlowFromContinuingInvestingActivities,-2889000000.0,-1329000000.0,-2276000000.0,-357000000.0,-1214000000.0
NetOtherInvestingChanges,,,,,31000000.0
NetInvestmentPurchaseAndSale,-2633000000.0,-1071000000.0,-278000000.0,-145000000.0,-1037000000.0
SaleOfInvestment,797000000.0,317000000.0,333000000.0,398000000.0,90000000.0
PurchaseOfInvestment,-3430000000.0,-1388000000.0,-611000000.0,-543000000.0,-1127000000.0
NetBusinessPurchaseAndSale,-44000000.0,0.0,,,0.0
PurchaseOfBusiness,-44000000.0,0.0,,,0.0
NetPPEPurchaseAndSale,-222000000.0,-258000000.0,-282000000.0,-212000000.0,-208000000.0
PurchaseOfPPE,-222000000.0,-258000000.0,-282000000.0,-212000000.0,-208000000.0
OperatingCashFlow,2600000000.0,2159000000.0,2011000000.0,939000000.0,1299000000.0
CashFromDiscontinuedOperatingActivities,296000000.0,371000000.0,,,
CashFlowFromContinuingOperatingActivities,2304000000.0,1788000000.0,1462000000.0,939000000.0,1299000000.0
ChangeInWorkingCapital,-1386000000.0,-708000000.0,464000000.0,-748000000.0,-70000000.0
ChangeInOtherWorkingCapital,,,,,30000000.0
ChangeInPayablesAndAccruedExpense,-910000000.0,895000000.0,535000000.0,-577000000.0,-328000000.0
ChangeInAccruedExpense,-322000000.0,444000000.0,-301000000.0,-288000000.0,257000000.0
ChangeInPayable,-588000000.0,451000000.0,836000000.0,-289000000.0,-585000000.0
ChangeInAccountPayable,-588000000.0,451000000.0,836000000.0,-289000000.0,-585000000.0
ChangeInPrepaidAssets,248000000.0,118000000.0,-140000000.0,-237000000.0,593000000.0
ChangeInInventory,-610000000.0,-636000000.0,-261000000.0,-682000000.0,-362000000.0
ChangeInReceivables,-114000000.0,-1085000000.0,330000000.0,748000000.0,-3000000.0
ChangesInAccountReceivables,-114000000.0,-1085000000.0,330000000.0,748000000.0,-3000000.0
OtherNonCashItems,91000000.0,-67000000.0,-10000000.0,39000000.0,62000000.0
StockBasedCompensation,486000000.0,419000000.0,369000000.0,364000000.0,339000000.0
DeferredTax,1083000000.0,218000000.0,-886000000.0,-167000000.0,-300000000.0
DeferredIncomeTax,1083000000.0,218000000.0,-886000000.0,-167000000.0,-300000000.0
DepreciationAmortizationDepletion,751000000.0,754000000.0,757000000.0,742000000.0,786000000.0
DepreciationAndAmortization,751000000.0,754000000.0,757000000.0,742000000.0,786000000.0
AmortizationCashFlow,557000000.0,562000000.0,568000000.0,567000000.0,
AmortizationOfIntangibles,557000000.0,562000000.0,568000000.0,567000000.0,
Depreciation,194000000.0,192000000.0,189000000.0,175000000.0,-1607000000.0
NetIncomeFromContinuingOperations,1620000000.0,1172000000.0,768000000.0,709000000.0,482000000.0
asOfDate,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
