,0,1,2,3,4
FreeCashFlow,-18171000000.0,14937000000.0,430000000.0,332000000.0,-8004000000.0
RepaymentOfDebt,-6692000000.0,-5101000000.0,-3185000000.0,-4632000000.0,-2608000000.0
IssuanceOfDebt,59459000000.0,17116000000.0,3223000000.0,2093000000.0,2561000000.0
CapitalExpenditure,-44203000000.0,-39522000000.0,-35095000000.0,-32183000000.0,-25019000000.0
InterestPaidSupplementalData,452000000.0,563000000.0,377000000.0,647000000.0,362000000.0
IncomeTaxPaidSupplementalData,1323000000.0,1521000000.0,1136000000.0,4761000000.0,877000000.0
EndCashPosition,104692000000.0,90106000000.0,70464000000.0,61453000000.0,69893000000.0
BeginningCashPosition,90106000000.0,70464000000.0,61453000000.0,69893000000.0,82312000000.0
EffectOfExchangeRateChanges,-1000000.0,137000000.0,-397000000.0,1008000000.0,416000000.0
ChangesInCash,14587000000.0,19505000000.0,9408000000.0,-9448000000.0,-12835000000.0
FinancingCashFlow,52767000000.0,12291000000.0,-44000000.0,-2539000000.0,-47000000.0
CashFlowFromContinuingFinancingActivities,52767000000.0,12291000000.0,-44000000.0,-2539000000.0,-47000000.0
NetOtherFinancingCharges,,,-82000000.0,,
NetIssuancePaymentsOfDebt,52767000000.0,12015000000.0,38000000.0,-2539000000.0,-47000000.0
NetShortTermDebtIssuance,-91000000.0,-937000000.0,1397000000.0,701000000.0,-267000000.0
ShortTermDebtPayments,-6109000000.0,-3126000000.0,-1826000000.0,-1392000000.0,-2082000000.0
ShortTermDebtIssuance,6018000000.0,2189000000.0,3223000000.0,2093000000.0,1815000000.0
NetLongTermDebtIssuance,52858000000.0,12952000000.0,-1359000000.0,-3240000000.0,220000000.0
LongTermDebtPayments,-583000000.0,-1975000000.0,-1359000000.0,-3240000000.0,-526000000.0
LongTermDebtIssuance,53441000000.0,14927000000.0,0.0,0.0,746000000.0
InvestingCashFlow,-64212000000.0,-47245000000.0,-26073000000.0,-39424000000.0,-29803000000.0
CashFlowFromContinuingInvestingActivities,-64212000000.0,-47245000000.0,-26073000000.0,-39424000000.0,-29803000000.0
NetInvestmentPurchaseAndSale,-5570000000.0,-7373000000.0,8941000000.0,-6356000000.0,-5596000000.0
SaleOfInvestment,17686000000.0,8841000000.0,16367000000.0,11441000000.0,7737000000.0
PurchaseOfInvestment,-23256000000.0,-16214000000.0,-7426000000.0,-17797000000.0,-13333000000.0
NetBusinessPurchaseAndSale,-15408000000.0,-1403000000.0,-786000000.0,-1700000000.0,48000000.0
SaleOfBusiness,,,,,48000000.0
PurchaseOfBusiness,-15408000000.0,-1403000000.0,-786000000.0,-1700000000.0,
NetPPEPurchaseAndSale,-43234000000.0,-38469000000.0,-34228000000.0,-31368000000.0,-24255000000.0
SaleOfPPE,969000000.0,1053000000.0,867000000.0,815000000.0,764000000.0
PurchaseOfPPE,-44203000000.0,-39522000000.0,-35095000000.0,-32183000000.0,-25019000000.0
OperatingCashFlow,26032000000.0,54459000000.0,35525000000.0,32515000000.0,17015000000.0
CashFlowFromContinuingOperatingActivities,26032000000.0,54459000000.0,35525000000.0,32515000000.0,17015000000.0
ChangeInWorkingCapital,-24366000000.0,9270000000.0,-7323000000.0,-6163000000.0,-15753000000.0
ChangeInOtherWorkingCapital,355000000.0,-191000000.0,-632000000.0,-119000000.0,728000000.0
ChangeInOtherCurrentAssets,-3811000000.0,-5220000000.0,-4039000000.0,-2971000000.0,-3402000000.0
ChangeInPayablesAndAccruedExpense,-16782000000.0,17058000000.0,152000000.0,2106000000.0,-13104000000.0
ChangeInAccruedExpense,-8045000000.0,5993000000.0,-1999000000.0,-4952000000.0,-4061000000.0
ChangeInPayable,-8737000000.0,11065000000.0,2151000000.0,7058000000.0,-9043000000.0
ChangeInAccountPayable,-8737000000.0,11065000000.0,2151000000.0,7058000000.0,-9043000000.0
ChangeInInventory,1622000000.0,3101000000.0,-827000000.0,-4054000000.0,-1222000000.0
ChangeInReceivables,-5750000000.0,-5478000000.0,-1977000000.0,-1125000000.0,1247000000.0
ChangesInAccountReceivables,-5750000000.0,-5478000000.0,-1977000000.0,-1125000000.0,1247000000.0
OtherNonCashItems,-15632000000.0,-693000000.0,-10112000000.0,-1258000000.0,-2817000000.0
StockBasedCompensation,4032000000.0,4397000000.0,4847000000.0,6534000000.0,3689000000.0
DeferredTax,12798000000.0,822000000.0,10130000000.0,11000000.0,507000000.0
DeferredIncomeTax,12798000000.0,822000000.0,10130000000.0,11000000.0,507000000.0
DepreciationAmortizationDepletion,18945000000.0,19471000000.0,16796000000.0,15227000000.0,14262000000.0
DepreciationAndAmortization,18945000000.0,19471000000.0,16796000000.0,15227000000.0,14262000000.0
NetIncomeFromContinuingOperations,30255000000.0,21192000000.0,21187000000.0,18164000000.0,17127000000.0
asOfDate,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
