,0,1,2,3,4
TaxEffectOfUnusualItems,7080508189.944711,272805123.092262,2196165000.0,233558000.0,1704742000.0
TaxRateForCalcs,0.191624,0.119181,0.205,0.169,0.173
NormalizedEBITDA,47477000000.0,43166000000.0,39028000000.0,37810000000.0,36456000000.0
TotalUnusualItems,36950000000.0,2289000000.0,10713000000.0,1382000000.0,9854000000.0
TotalUnusualItemsExcludingGoodwill,36950000000.0,2289000000.0,10713000000.0,1382000000.0,9854000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0
ReconciledDepreciation,6482000000.0,6040000000.0,5611000000.0,4998000000.0,4487000000.0
ReconciledCostOfRevenue,41271000000.0,45767000000.0,41369000000.0,39039000000.0,36361000000.0
EBITDA,84427000000.0,45455000000.0,49741000000.0,39192000000.0,46310000000.0
EBIT,77945000000.0,39415000000.0,44130000000.0,34194000000.0,41823000000.0
NetInterestIncome,848000000.0,911000000.0,933000000.0,789000000.0,967000000.0
InterestExpense,533000000.0,298000000.0,143000000.0,261000000.0,34000000.0
InterestIncome,1381000000.0,1209000000.0,1076000000.0,1050000000.0,1001000000.0
NormalizedIncome,32708508189.94471,32438805123.092262,26462165000.0,27047558000.0,26390742000.0
NetIncomeFromContinuingAndDiscontinuedOperation,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0
TotalExpenses,70200000000.0,77895000000.0,71118000000.0,65157000000.0,59628000000.0
TotalOperatingIncomeAsReported,39696000000.0,35934000000.0,31228000000.0,31271000000.0,30606000000.0
DilutedAverageShares,12238000000.0,12228000000.0,12203000000.0,12198000000.0,12291000000.0
BasicAverageShares,12099000000.0,12073000000.0,12086000000.0,12122000000.0,12183000000.0
DilutedEPS,5.11,2.82,2.87,2.31,2.81
BasicEPS,5.17,2.85,2.89,2.33,2.84
DilutedNIAvailtoComStockholders,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0
AverageDilutionEarnings,0.0,,,,0.0
NetIncomeCommonStockholders,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0
NetIncome,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0
NetIncomeIncludingNoncontrollingInterests,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0
NetIncomeContinuousOperations,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0
TaxProvision,14834000000.0,4662000000.0,9008000000.0,5737000000.0,7249000000.0
PretaxIncome,77412000000.0,39117000000.0,43987000000.0,33933000000.0,41789000000.0
OtherIncomeExpense,36868000000.0,2272000000.0,11826000000.0,1873000000.0,10216000000.0
OtherNonOperatingIncomeExpenses,-142000000.0,69000000.0,1143000000.0,72000000.0,384000000.0
SpecialIncomeCharges,,-86000000.0,-30000000.0,419000000.0,-22000000.0
WriteOff,,86000000.0,30000000.0,-419000000.0,22000000.0
EarningsFromEquityInterest,60000000.0,-86000000.0,-30000000.0,419000000.0,-22000000.0
GainOnSaleOfSecurity,36950000000.0,2289000000.0,10713000000.0,1382000000.0,9854000000.0
NetNonOperatingInterestIncomeExpense,848000000.0,911000000.0,933000000.0,789000000.0,967000000.0
InterestExpenseNonOperating,533000000.0,298000000.0,143000000.0,261000000.0,34000000.0
InterestIncomeNonOperating,1381000000.0,1209000000.0,1076000000.0,1050000000.0,1001000000.0
OperatingIncome,39696000000.0,35934000000.0,31228000000.0,31271000000.0,30606000000.0
OperatingExpense,28929000000.0,32128000000.0,29749000000.0,26118000000.0,23267000000.0
ResearchAndDevelopment,17032000000.0,18572000000.0,15151000000.0,13808000000.0,13556000000.0
SellingGeneralAndAdministration,11897000000.0,13556000000.0,14598000000.0,12310000000.0,9711000000.0
SellingAndMarketingExpense,7606000000.0,8215000000.0,7205000000.0,7101000000.0,6172000000.0
GeneralAndAdministrativeExpense,4291000000.0,5341000000.0,7393000000.0,5209000000.0,3539000000.0
OtherGandA,4291000000.0,5341000000.0,7393000000.0,5209000000.0,3539000000.0
GrossProfit,68625000000.0,68062000000.0,60977000000.0,57389000000.0,53873000000.0
CostOfRevenue,41271000000.0,45767000000.0,41369000000.0,39039000000.0,36361000000.0
TotalRevenue,109896000000.0,113829000000.0,102346000000.0,96428000000.0,90234000000.0
OperatingRevenue,109896000000.0,113829000000.0,102346000000.0,96428000000.0,90234000000.0
asOfDate,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
