,0,1,2,3,4
OrdinarySharesNumber,71400000.0,70912590.0,69800000.0,69400000.0,69100000.0
ShareIssued,71400000.0,70912590.0,69800000.0,69400000.0,69100000.0
NetDebt,2629600000.0,2470600000.0,2052500000.0,2056300000.0,2091300000.0
TotalDebt,3322700000.0,3280200000.0,2608200000.0,2609800000.0,2608300000.0
TangibleBookValue,-611000000.0,-710800000.0,-391300000.0,-681200000.0,-723500000.0
InvestedCapital,4133900000.0,4024300000.0,3707900000.0,3452200000.0,3443300000.0
WorkingCapital,-1484400000.0,559400000.0,1324500000.0,1314300000.0,1304500000.0
NetTangibleAssets,-611000000.0,-710800000.0,-391300000.0,-681200000.0,-723500000.0
CapitalLeaseObligations,35400000.0,36700000.0,35000000.0,37100000.0,37300000.0
CommonStockEquity,846600000.0,780800000.0,1134700000.0,879500000.0,872300000.0
TotalCapitalization,893700000.0,2945300000.0,3697300000.0,3441900000.0,3433500000.0
TotalEquityGrossMinorityInterest,846600000.0,780800000.0,1134700000.0,879500000.0,872300000.0
StockholdersEquity,846600000.0,780800000.0,1134700000.0,879500000.0,872300000.0
GainsLossesNotAffectingRetainedEarnings,9400000.0,9100000.0,9000000.0,11100000.0,10200000.0
OtherEquityAdjustments,9400000.0,9100000.0,9000000.0,11100000.0,10200000.0
RetainedEarnings,-778800000.0,-857000000.0,-861200000.0,-1074500000.0,-1030400000.0
AdditionalPaidInCapital,1615900000.0,1628600000.0,1986800000.0,1942800000.0,1892400000.0
CapitalStock,100000.0,100000.0,100000.0,100000.0,100000.0
CommonStock,100000.0,100000.0,100000.0,100000.0,100000.0
TotalLiabilitiesNetMinorityInterest,3958700000.0,3832300000.0,3084000000.0,3095500000.0,3093800000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,191100000.0,2306100000.0,2691200000.0,2742500000.0,2746900000.0
OtherNonCurrentLiabilities,37000000.0,36500000.0,25400000.0,24900000.0,5500000.0
EmployeeBenefits,11200000.0,10500000.0,9700000.0,7000000.0,6200000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,11200000.0,10500000.0,9700000.0,7000000.0,6200000.0
TradeandOtherPayablesNonCurrent,60400000.0,57000000.0,55600000.0,76100000.0,95500000.0
NonCurrentDeferredLiabilities,5600000.0,6000000.0,7200000.0,39400000.0,45400000.0
NonCurrentDeferredTaxesLiabilities,5600000.0,6000000.0,7200000.0,39400000.0,45400000.0
LongTermDebtAndCapitalLeaseObligation,69800000.0,2189000000.0,2586200000.0,2588200000.0,2587300000.0
LongTermCapitalLeaseObligation,22700000.0,24500000.0,23600000.0,25800000.0,26100000.0
LongTermDebt,47100000.0,2164500000.0,2562600000.0,2562400000.0,2561200000.0
LongTermProvisions,7100000.0,7100000.0,7100000.0,6900000.0,7000000.0
CurrentLiabilities,3767600000.0,1526200000.0,392800000.0,353000000.0,346900000.0
OtherCurrentLiabilities,3600000.0,4300000.0,6400000.0,7200000.0,6800000.0
CurrentDeferredLiabilities,2100000.0,2700000.0,700000.0,700000.0,700000.0
CurrentDeferredRevenue,2100000.0,2700000.0,700000.0,700000.0,700000.0
CurrentDebtAndCapitalLeaseObligation,3252900000.0,1091200000.0,22000000.0,21600000.0,21000000.0
CurrentCapitalLeaseObligation,12700000.0,12200000.0,11400000.0,11300000.0,11200000.0
CurrentDebt,3240200000.0,1079000000.0,10600000.0,10300000.0,9800000.0
OtherCurrentBorrowings,3240200000.0,1079000000.0,10600000.0,10300000.0,9800000.0
CurrentProvisions,22700000.0,13100000.0,14400000.0,13000000.0,12800000.0
PayablesAndAccruedExpenses,486300000.0,414900000.0,349300000.0,310500000.0,305600000.0
CurrentAccruedExpenses,126700000.0,120700000.0,95000000.0,88200000.0,87800000.0
Payables,359600000.0,294200000.0,254300000.0,222300000.0,217800000.0
TotalTaxPayable,12200000.0,15600000.0,29100000.0,27100000.0,33100000.0
IncomeTaxPayable,12200000.0,15600000.0,29100000.0,27100000.0,33100000.0
AccountsPayable,347400000.0,278600000.0,225200000.0,195200000.0,184700000.0
TotalAssets,4805300000.0,4613100000.0,4218700000.0,3975000000.0,3966100000.0
TotalNonCurrentAssets,2522100000.0,2527500000.0,2501400000.0,2307700000.0,2314700000.0
OtherNonCurrentAssets,15300000.0,6000000.0,10800000.0,8800000.0,11600000.0
NonCurrentDeferredAssets,206100000.0,204600000.0,210300000.0,12700000.0,11000000.0
NonCurrentDeferredTaxesAssets,206100000.0,204600000.0,210300000.0,12700000.0,11000000.0
GoodwillAndOtherIntangibleAssets,1457600000.0,1491600000.0,1526000000.0,1560700000.0,1595800000.0
OtherIntangibleAssets,396700000.0,430700000.0,465100000.0,499800000.0,534900000.0
Goodwill,1060900000.0,1060900000.0,1060900000.0,1060900000.0,1060900000.0
NetPPE,843100000.0,825300000.0,754300000.0,725500000.0,696300000.0
AccumulatedDepreciation,-831100000.0,-801700000.0,-779900000.0,-760900000.0,-746000000.0
GrossPPE,1674200000.0,1627000000.0,1534200000.0,1486400000.0,1442300000.0
Leases,46600000.0,45900000.0,45900000.0,44400000.0,44600000.0
ConstructionInProgress,180800000.0,174300000.0,152300000.0,167900000.0,131700000.0
OtherProperties,58700000.0,57800000.0,54400000.0,64600000.0,66000000.0
