,0,1,2,3,4
FreeCashFlow,43100000.0,-18300000.0,10100000.0,-64400000.0,-15900000.0
RepaymentOfDebt,-2500000.0,-845700000.0,-2700000.0,-2500000.0,-2500000.0
IssuanceOfDebt,46900000.0,1255700000.0,0.0,0.0,0.0
CapitalExpenditure,-83600000.0,-76200000.0,-53900000.0,-62800000.0,-40200000.0
InterestPaidSupplementalData,10200000.0,100000.0,9400000.0,200000.0,9400000.0
IncomeTaxPaidSupplementalData,14700000.0,3200000.0,10100000.0,,
EndCashPosition,657700000.0,772900000.0,520700000.0,516400000.0,479700000.0
BeginningCashPosition,772900000.0,520700000.0,516400000.0,479700000.0,489200000.0
ChangesInCash,-115200000.0,252200000.0,4300000.0,36700000.0,-9500000.0
FinancingCashFlow,-10500000.0,262100000.0,-300000.0,-14800000.0,-3100000.0
CashFlowFromContinuingFinancingActivities,-10500000.0,262100000.0,-300000.0,-14800000.0,-3100000.0
NetOtherFinancingCharges,-62100000.0,-149400000.0,-5400000.0,-12500000.0,-7800000.0
ProceedsFromStockOptionExercised,7200000.0,1500000.0,7800000.0,200000.0,7200000.0
NetIssuancePaymentsOfDebt,44400000.0,410000000.0,-2700000.0,-2500000.0,-2500000.0
NetLongTermDebtIssuance,44400000.0,410000000.0,-2700000.0,-2500000.0,-2500000.0
LongTermDebtPayments,-2500000.0,-845700000.0,-2700000.0,-2500000.0,-2500000.0
LongTermDebtIssuance,46900000.0,1255700000.0,0.0,0.0,0.0
InvestingCashFlow,-231400000.0,-67800000.0,-59400000.0,53100000.0,-30700000.0
CashFlowFromContinuingInvestingActivities,-231400000.0,-67800000.0,-59400000.0,53100000.0,-30700000.0
NetInvestmentPurchaseAndSale,-147900000.0,8400000.0,-5500000.0,68000000.0,9500000.0
SaleOfInvestment,51300000.0,66700000.0,80200000.0,157800000.0,136000000.0
PurchaseOfInvestment,-199200000.0,-58300000.0,-85700000.0,-89800000.0,-126500000.0
NetBusinessPurchaseAndSale,,,0.0,0.0,
PurchaseOfBusiness,,,0.0,0.0,
NetIntangiblesPurchaseAndSale,,,0.0,0.0,0.0
PurchaseOfIntangibles,,,0.0,0.0,0.0
NetPPEPurchaseAndSale,-83500000.0,-76200000.0,-6100000.0,-62700000.0,-40200000.0
SaleOfPPE,100000.0,0.0,47800000.0,100000.0,0.0
PurchaseOfPPE,-83600000.0,-76200000.0,-53900000.0,-62800000.0,-40200000.0
OperatingCashFlow,126700000.0,57900000.0,64000000.0,-1600000.0,24300000.0
CashFlowFromContinuingOperatingActivities,126700000.0,57900000.0,64000000.0,-1600000.0,24300000.0
ChangeInWorkingCapital,-72700000.0,-54600000.0,-254800000.0,-57800000.0,-11800000.0
ChangeInOtherWorkingCapital,,-1900000.0,-235000000.0,,
ChangeInOtherCurrentLiabilities,-1300000.0,1700000.0,-2100000.0,-200000.0,-4400000.0
ChangeInOtherCurrentAssets,900000.0,-2600000.0,2700000.0,0.0,2600000.0
ChangeInPayablesAndAccruedExpense,65600000.0,65000000.0,32900000.0,-14800000.0,22500000.0
ChangeInAccruedExpense,13000000.0,36200000.0,8600000.0,7500000.0,-12100000.0
ChangeInPayable,52600000.0,28800000.0,24300000.0,-22300000.0,34600000.0
ChangeInAccountPayable,51100000.0,28800000.0,24300000.0,6200000.0,6100000.0
ChangeInTaxPayable,,,,,21300000.0
ChangeInIncomeTaxPayable,,,,,21300000.0
ChangeInPrepaidAssets,-25000000.0,-2400000.0,-13400000.0,-6700000.0,1600000.0
ChangeInInventory,-45000000.0,-57500000.0,-45600000.0,-20700000.0,1500000.0
ChangeInReceivables,-69800000.0,-56900000.0,5700000.0,-32200000.0,-28400000.0
ChangesInAccountReceivables,-69800000.0,-56900000.0,5700000.0,-32200000.0,-28400000.0
OtherNonCashItems,-400000.0,3400000.0,2800000.0,3800000.0,-7500000.0
StockBasedCompensation,45400000.0,42400000.0,40000000.0,62800000.0,38800000.0
AssetImpairmentCharge,0.0,-100000.0,-6200000.0,9600000.0,0.0
DepreciationAmortizationDepletion,64600000.0,62200000.0,61100000.0,60100000.0,64900000.0
DepreciationAndAmortization,64600000.0,62200000.0,61100000.0,60100000.0,64900000.0
AmortizationCashFlow,34000000.0,34400000.0,34700000.0,35100000.0,39000000.0
AmortizationOfIntangibles,34000000.0,34400000.0,34700000.0,35100000.0,39000000.0
Depreciation,30600000.0,27800000.0,26400000.0,25000000.0,25900000.0
OperatingGainsLosses,11600000.0,400000.0,7800000.0,-36000000.0,800000.0
GainLossOnSaleOfPPE,11600000.0,400000.0,0.0,4400000.0,600000.0
NetIncomeFromContinuingOperations,78200000.0,4200000.0,213300000.0,-44100000.0,-60900000.0
asOfDate,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
