,0,1,2,3,4
TaxEffectOfUnusualItems,5177098.445596,-1307692.307692,-2310000.0,5061000.0,1092000.0
TaxRateForCalcs,0.189637,0.192308,0.21,0.21,0.21
NormalizedEBITDA,140100000.0,79900000.0,66100000.0,2500000.0,23000000.0
TotalUnusualItems,27300000.0,-6800000.0,-11000000.0,24100000.0,5200000.0
TotalUnusualItemsExcludingGoodwill,27300000.0,-6800000.0,-11000000.0,24100000.0,5200000.0
NetIncomeFromContinuingOperationNetMinorityInterest,78200000.0,4200000.0,213300000.0,-44100000.0,-60900000.0
ReconciledDepreciation,64600000.0,62200000.0,61100000.0,60100000.0,64900000.0
ReconciledCostOfRevenue,425400000.0,352300000.0,320800000.0,302700000.0,302600000.0
EBITDA,167400000.0,73100000.0,55100000.0,26600000.0,28200000.0
EBIT,102800000.0,10900000.0,-6000000.0,-33500000.0,-36700000.0
NetInterestIncome,5300000.0,2900000.0,2800000.0,2100000.0,3400000.0
InterestExpense,6300000.0,5700000.0,5400000.0,5700000.0,5600000.0
InterestIncome,11600000.0,8600000.0,8200000.0,7800000.0,9000000.0
NormalizedIncome,56077098.445596,9692307.692308,221990000.0,-63139000.0,-65008000.0
NetIncomeFromContinuingAndDiscontinuedOperation,78200000.0,4200000.0,213300000.0,-44100000.0,-60900000.0
TotalExpenses,601600000.0,518800000.0,483900000.0,490600000.0,453100000.0
TotalOperatingIncomeAsReported,64300000.0,6700000.0,-8400000.0,-37700000.0,-51600000.0
DilutedAverageShares,87800000.0,78300000.0,72000000.0,69300000.0,68900000.0
BasicAverageShares,71100000.0,70300000.0,69600000.0,69300000.0,68900000.0
DilutedEPS,0.89,0.05,2.96,-0.64,-0.88
BasicEPS,1.1,0.06,3.06,-0.64,-0.88
DilutedNIAvailtoComStockholders,78200000.0,4200000.0,213300000.0,-44100000.0,-60900000.0
NetIncomeCommonStockholders,78200000.0,4200000.0,213300000.0,-44100000.0,-60900000.0
NetIncome,78200000.0,4200000.0,213300000.0,-44100000.0,-60900000.0
NetIncomeIncludingNoncontrollingInterests,78200000.0,4200000.0,213300000.0,-44100000.0,-60900000.0
NetIncomeContinuousOperations,78200000.0,4200000.0,213300000.0,-44100000.0,-60900000.0
TaxProvision,18300000.0,1000000.0,-224700000.0,4900000.0,18600000.0
PretaxIncome,96500000.0,5200000.0,-11400000.0,-39200000.0,-42300000.0
OtherIncomeExpense,27300000.0,-12700000.0,-11000000.0,24100000.0,5200000.0
OtherNonOperatingIncomeExpenses,,-5900000.0,,,
SpecialIncomeCharges,27900000.0,-8300000.0,-5200000.0,27700000.0,-700000.0
GainOnSaleOfPPE,,,0.0,34900000.0,
RestructuringAndMergernAcquisition,-27900000.0,8300000.0,5200000.0,7200000.0,700000.0
GainOnSaleOfSecurity,-600000.0,1500000.0,-5800000.0,-3600000.0,5900000.0
NetNonOperatingInterestIncomeExpense,5300000.0,2900000.0,2800000.0,2100000.0,3400000.0
InterestExpenseNonOperating,6300000.0,5700000.0,5400000.0,5700000.0,5600000.0
InterestIncomeNonOperating,11600000.0,8600000.0,8200000.0,7800000.0,9000000.0
OperatingIncome,63900000.0,15000000.0,-3200000.0,-65400000.0,-50900000.0
OperatingExpense,176200000.0,166500000.0,163100000.0,187900000.0,150500000.0
ResearchAndDevelopment,80100000.0,81400000.0,79500000.0,75900000.0,74200000.0
SellingGeneralAndAdministration,96100000.0,85100000.0,83600000.0,112000000.0,76300000.0
GrossProfit,240100000.0,181500000.0,159900000.0,122500000.0,99600000.0
CostOfRevenue,425400000.0,352300000.0,320800000.0,302700000.0,302600000.0
TotalRevenue,665500000.0,533800000.0,480700000.0,425200000.0,402200000.0
OperatingRevenue,665500000.0,533800000.0,480700000.0,425200000.0,402200000.0
asOfDate,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
