,0,1,2,3,4
FreeCashFlow,13229000000.0,14831000000.0,11170000000.0,9023000000.0,11085000000.0
RepurchaseOfCapitalStock,0.0,0.0,-3327000000.0,-10167000000.0,-12754000000.0
RepaymentOfDebt,-843000000.0,-754000000.0,-545000000.0,-474000000.0,-751000000.0
IssuanceOfDebt,,29906000000.0,,,
CapitalExpenditure,-18997000000.0,-21383000000.0,-18829000000.0,-16538000000.0,-12941000000.0
InterestPaidSupplementalData,284000000.0,93000000.0,125000000.0,126000000.0,352000000.0
IncomeTaxPaidSupplementalData,541000000.0,1285000000.0,749000000.0,5096000000.0,448000000.0
EndCashPosition,31102000000.0,39100000000.0,11941000000.0,13828000000.0,30071000000.0
BeginningCashPosition,39100000000.0,11941000000.0,13828000000.0,30071000000.0,45438000000.0
EffectOfExchangeRateChanges,7000000.0,-17000000.0,9000000.0,131000000.0,112000000.0
ChangesInCash,-8005000000.0,27176000000.0,-1896000000.0,-16374000000.0,-15479000000.0
FinancingCashFlow,-6553000000.0,25149000000.0,-10047000000.0,-15977000000.0,-19495000000.0
CashFlowFromContinuingFinancingActivities,-6553000000.0,25149000000.0,-10047000000.0,-15977000000.0,-19495000000.0
NetOtherFinancingCharges,-4364000000.0,-2665000000.0,-4845000000.0,-4009000000.0,-4661000000.0
CashDividendsPaid,-1346000000.0,-1338000000.0,-1330000000.0,-1327000000.0,-1329000000.0
CommonStockDividendPaid,-1346000000.0,-1338000000.0,-1330000000.0,-1327000000.0,-1329000000.0
NetCommonStockIssuance,0.0,0.0,-3327000000.0,-10167000000.0,-12754000000.0
CommonStockPayments,0.0,0.0,-3327000000.0,-10167000000.0,-12754000000.0
NetIssuancePaymentsOfDebt,-843000000.0,29152000000.0,-545000000.0,-474000000.0,-751000000.0
NetLongTermDebtIssuance,-843000000.0,29152000000.0,-545000000.0,-474000000.0,-751000000.0
LongTermDebtPayments,-843000000.0,-754000000.0,-545000000.0,-474000000.0,-751000000.0
LongTermDebtIssuance,,29906000000.0,,,
InvestingCashFlow,-33678000000.0,-34187000000.0,-21848000000.0,-25958000000.0,-20010000000.0
CashFlowFromContinuingInvestingActivities,-33678000000.0,-34187000000.0,-21848000000.0,-25958000000.0,-20010000000.0
NetOtherInvestingChanges,37000000.0,-405000000.0,-1084000000.0,-772000000.0,11000000.0
NetInvestmentPurchaseAndSale,-14346000000.0,-11537000000.0,-1182000000.0,-8587000000.0,-7079000000.0
SaleOfInvestment,19176000000.0,3113000000.0,4704000000.0,14273000000.0,4784000000.0
PurchaseOfInvestment,-33522000000.0,-14650000000.0,-5886000000.0,-22860000000.0,-11863000000.0
NetBusinessPurchaseAndSale,-372000000.0,-862000000.0,-753000000.0,-61000000.0,-1000000.0
PurchaseOfBusiness,-372000000.0,-3416000000.0,-753000000.0,-61000000.0,-1000000.0
NetPPEPurchaseAndSale,-18997000000.0,-21383000000.0,-18829000000.0,-16538000000.0,-12941000000.0
PurchaseOfPPE,-18997000000.0,-21383000000.0,-18829000000.0,-16538000000.0,-12941000000.0
OperatingCashFlow,32226000000.0,36214000000.0,29999000000.0,25561000000.0,24026000000.0
CashFlowFromContinuingOperatingActivities,32226000000.0,36214000000.0,29999000000.0,25561000000.0,24026000000.0
ChangeInWorkingCapital,-7759000000.0,1664000000.0,-2151000000.0,-957000000.0,559000000.0
ChangeInOtherCurrentLiabilities,-5173000000.0,-431000000.0,-736000000.0,892000000.0,712000000.0
ChangeInOtherCurrentAssets,-1082000000.0,-272000000.0,33000000.0,-190000000.0,-52000000.0
ChangeInPayablesAndAccruedExpense,-1208000000.0,4583000000.0,392000000.0,-647000000.0,-3265000000.0
ChangeInAccruedExpense,-271000000.0,3960000000.0,455000000.0,-1107000000.0,-2231000000.0
ChangeInPayable,-937000000.0,623000000.0,-63000000.0,460000000.0,-1034000000.0
ChangeInAccountPayable,-937000000.0,623000000.0,-63000000.0,460000000.0,-1034000000.0
ChangeInPrepaidAssets,-2424000000.0,259000000.0,-1034000000.0,326000000.0,360000000.0
ChangeInReceivables,2128000000.0,-2475000000.0,-806000000.0,-1338000000.0,2804000000.0
ChangesInAccountReceivables,2128000000.0,-2475000000.0,-806000000.0,-1338000000.0,2804000000.0
OtherNonCashItems,-17000000.0,37000000.0,-23000000.0,-334000000.0,-96000000.0
StockBasedCompensation,6032000000.0,5890000000.0,5556000000.0,4834000000.0,4147000000.0
UnrealizedGainLossOnInvestmentSecurities,1075000000.0,-590000000.0,-922000000.0,509000000.0,-135000000.0
AssetImpairmentCharge,,,,,
DeferredTax,123000000.0,1034000000.0,19867000000.0,-1170000000.0,-993000000.0
DeferredIncomeTax,123000000.0,1034000000.0,19867000000.0,-1170000000.0,-993000000.0
DepreciationAmortizationDepletion,5999000000.0,5411000000.0,4963000000.0,4342000000.0,3900000000.0
DepreciationAndAmortization,5999000000.0,5411000000.0,4963000000.0,4342000000.0,3900000000.0
NetIncomeFromContinuingOperations,26773000000.0,22768000000.0,2709000000.0,18337000000.0,16644000000.0
asOfDate,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
