,0,1,2,3,4
TaxEffectOfUnusualItems,-520800000.0,-12035497.357419,8820000.0,21560000.0,38670547.274508
TaxRateForCalcs,0.4,0.101996,0.21,0.11,0.094549
NormalizedEBITDA,29615000000.0,31339000000.0,26811000000.0,24921000000.0,22113000000.0
TotalUnusualItems,-1302000000.0,-118000000.0,42000000.0,196000000.0,409000000.0
TotalUnusualItemsExcludingGoodwill,-1302000000.0,-118000000.0,42000000.0,196000000.0,409000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,26773000000.0,22768000000.0,2709000000.0,18337000000.0,16644000000.0
ReconciledDepreciation,5999000000.0,5411000000.0,4963000000.0,4342000000.0,3900000000.0
ReconciledCostOfRevenue,10218000000.0,10906000000.0,9206000000.0,8491000000.0,7572000000.0
EBITDA,28313000000.0,31221000000.0,26853000000.0,25117000000.0,22522000000.0
EBIT,22314000000.0,25810000000.0,21890000000.0,20775000000.0,18622000000.0
NetInterestIncome,182000000.0,169000000.0,132000000.0,240000000.0,418000000.0
InterestExpense,562000000.0,456000000.0,227000000.0,241000000.0,240000000.0
InterestIncome,744000000.0,625000000.0,359000000.0,481000000.0,658000000.0
NormalizedIncome,27554200000.0,22873964502.642582,2675820000.0,18162560000.0,16273670547.274508
NetIncomeFromContinuingAndDiscontinuedOperation,26773000000.0,22768000000.0,2709000000.0,18337000000.0,16644000000.0
TotalExpenses,33439000000.0,35148000000.0,30707000000.0,27075000000.0,24759000000.0
TotalOperatingIncomeAsReported,22872000000.0,24745000000.0,20535000000.0,20441000000.0,17555000000.0
DilutedAverageShares,2564000000.0,2565000000.0,2572000000.0,2570000000.0,2590000000.0
BasicAverageShares,2534000000.0,2525000000.0,2517000000.0,2518000000.0,2527000000.0
DilutedEPS,10.44,8.88,1.05,7.14,6.43
BasicEPS,10.57,9.02,1.08,7.28,6.59
DilutedNIAvailtoComStockholders,26773000000.0,22768000000.0,2709000000.0,18337000000.0,16644000000.0
NetIncomeCommonStockholders,26773000000.0,22768000000.0,2709000000.0,18337000000.0,16644000000.0
NetIncome,26773000000.0,22768000000.0,2709000000.0,18337000000.0,16644000000.0
NetIncomeIncludingNoncontrollingInterests,26773000000.0,22768000000.0,2709000000.0,18337000000.0,16644000000.0
NetIncomeContinuousOperations,26773000000.0,22768000000.0,2709000000.0,18337000000.0,16644000000.0
TaxProvision,-5021000000.0,2586000000.0,18954000000.0,2197000000.0,1738000000.0
PretaxIncome,21752000000.0,25354000000.0,21663000000.0,20534000000.0,18382000000.0
OtherIncomeExpense,-1302000000.0,440000000.0,996000000.0,-147000000.0,409000000.0
OtherNonOperatingIncomeExpenses,,558000000.0,954000000.0,-343000000.0,177000000.0
GainOnSaleOfSecurity,-1302000000.0,-118000000.0,42000000.0,196000000.0,409000000.0
NetNonOperatingInterestIncomeExpense,182000000.0,169000000.0,132000000.0,240000000.0,418000000.0
TotalOtherFinanceCost,,-558000000.0,-954000000.0,343000000.0,-177000000.0
InterestExpenseNonOperating,562000000.0,456000000.0,227000000.0,241000000.0,240000000.0
InterestIncomeNonOperating,744000000.0,625000000.0,359000000.0,481000000.0,658000000.0
OperatingIncome,22872000000.0,24745000000.0,20535000000.0,20441000000.0,17555000000.0
OperatingExpense,23221000000.0,24242000000.0,21501000000.0,18584000000.0,17187000000.0
ResearchAndDevelopment,17699000000.0,17135000000.0,15144000000.0,12942000000.0,12150000000.0
SellingGeneralAndAdministration,5522000000.0,7107000000.0,6357000000.0,5642000000.0,5037000000.0
SellingAndMarketingExpense,2908000000.0,3410000000.0,2845000000.0,2979000000.0,2757000000.0
GeneralAndAdministrativeExpense,2614000000.0,3697000000.0,3512000000.0,2663000000.0,2280000000.0
OtherGandA,2614000000.0,3697000000.0,3512000000.0,2663000000.0,2280000000.0
GrossProfit,46093000000.0,48987000000.0,42036000000.0,39025000000.0,34742000000.0
CostOfRevenue,10218000000.0,10906000000.0,9206000000.0,8491000000.0,7572000000.0
TotalRevenue,56311000000.0,59893000000.0,51242000000.0,47516000000.0,42314000000.0
OperatingRevenue,55426000000.0,59093000000.0,50552000000.0,46933000000.0,41804000000.0
asOfDate,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
