,0,1,2,3,4
OrdinarySharesNumber,7429000000.0,7428838066.0,7433087554.0,7434158655.0,7433982235.0
ShareIssued,7429000000.0,7428838066.0,7433087554.0,7434158655.0,7433982235.0
NetDebt,8157000000.0,15966000000.0,14359000000.0,12909000000.0,14053000000.0
TotalDebt,56965000000.0,57607000000.0,60556000000.0,60588000000.0,60567000000.0
TangibleBookValue,275381000000.0,250964000000.0,222343000000.0,201366000000.0,178594000000.0
InvestedCapital,454629000000.0,431137000000.0,406284000000.0,386630000000.0,364772000000.0
WorkingCapital,38668000000.0,50185000000.0,54070000000.0,49913000000.0,42438000000.0
NetTangibleAssets,275381000000.0,250964000000.0,222343000000.0,201366000000.0,178594000000.0
CapitalLeaseObligations,16703000000.0,17345000000.0,17348000000.0,17437000000.0,17686000000.0
CommonStockEquity,414367000000.0,390875000000.0,363076000000.0,343479000000.0,321891000000.0
TotalCapitalization,445790000000.0,426300000000.0,398452000000.0,383631000000.0,361773000000.0
TotalEquityGrossMinorityInterest,414367000000.0,390875000000.0,363076000000.0,343479000000.0,321891000000.0
StockholdersEquity,414367000000.0,390875000000.0,363076000000.0,343479000000.0,321891000000.0
GainsLossesNotAffectingRetainedEarnings,-3228000000.0,-2702000000.0,-2761000000.0,-3347000000.0,-4833000000.0
OtherEquityAdjustments,-3228000000.0,-2702000000.0,-2761000000.0,-3347000000.0,-4833000000.0
RetainedEarnings,302526000000.0,280789000000.0,254873000000.0,237731000000.0,219759000000.0
CapitalStock,115069000000.0,112788000000.0,110964000000.0,109095000000.0,106965000000.0
CommonStock,115069000000.0,112788000000.0,110964000000.0,109095000000.0,106965000000.0
TotalLiabilitiesNetMinorityInterest,279861000000.0,274427000000.0,273275000000.0,275524000000.0,240733000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,143200000000.0,144422000000.0,138279000000.0,134306000000.0,126527000000.0
OtherNonCurrentLiabilities,61481000000.0,58852000000.0,53588000000.0,45186000000.0,38536000000.0
TradeandOtherPayablesNonCurrent,27941000000.0,27256000000.0,26569000000.0,25986000000.0,25061000000.0
NonCurrentDeferredLiabilities,5652000000.0,5544000000.0,5398000000.0,5545000000.0,5362000000.0
NonCurrentDeferredRevenue,2753000000.0,2668000000.0,2546000000.0,2710000000.0,2840000000.0
