,0,1,2,3,4
FreeCashFlow,15803000000.0,5882000000.0,25663000000.0,25568000000.0,20299000000.0
RepurchaseOfCapitalStock,-4627000000.0,-7415000000.0,-5650000000.0,-4546000000.0,-4781000000.0
RepaymentOfDebt,0.0,-3000000000.0,0.0,0.0,-2250000000.0
IssuanceOfDebt,,,,0.0,0.0
IssuanceOfCapitalStock,541000000.0,259000000.0,689000000.0,548000000.0,546000000.0
CapitalExpenditure,-30876000000.0,-29876000000.0,-19394000000.0,-17079000000.0,-16745000000.0
EndCashPosition,32105000000.0,24296000000.0,28849000000.0,30242000000.0,28828000000.0
BeginningCashPosition,24296000000.0,28849000000.0,30242000000.0,28828000000.0,17482000000.0
EffectOfExchangeRateChanges,-114000000.0,11000000.0,-92000000.0,183000000.0,52000000.0
ChangesInCash,7923000000.0,-4564000000.0,-1301000000.0,1231000000.0,11294000000.0
FinancingCashFlow,-11351000000.0,-17617000000.0,-11799000000.0,-10844000000.0,-13036000000.0
CashFlowFromContinuingFinancingActivities,-11351000000.0,-17617000000.0,-11799000000.0,-10844000000.0,-13036000000.0
NetOtherFinancingCharges,-509000000.0,-699000000.0,-669000000.0,-677000000.0,-382000000.0
CashDividendsPaid,-6756000000.0,-6762000000.0,-6169000000.0,-6169000000.0,-6169000000.0
CommonStockDividendPaid,-6756000000.0,-6762000000.0,-6169000000.0,-6169000000.0,-6169000000.0
NetCommonStockIssuance,-4086000000.0,-7156000000.0,-4961000000.0,-3998000000.0,-4235000000.0
CommonStockPayments,-4627000000.0,-7415000000.0,-5650000000.0,-4546000000.0,-4781000000.0
CommonStockIssuance,541000000.0,259000000.0,689000000.0,548000000.0,546000000.0
NetIssuancePaymentsOfDebt,0.0,-3000000000.0,0.0,0.0,-2250000000.0
NetShortTermDebtIssuance,0.0,0.0,0.0,0.0,0.0
ShortTermDebtPayments,,0.0,,,
NetLongTermDebtIssuance,0.0,-3000000000.0,0.0,0.0,-2250000000.0
LongTermDebtPayments,0.0,-3000000000.0,0.0,0.0,-2250000000.0
LongTermDebtIssuance,,,,0.0,0.0
InvestingCashFlow,-27405000000.0,-22705000000.0,-34559000000.0,-30572000000.0,-12714000000.0
CashFlowFromContinuingInvestingActivities,-27405000000.0,-22705000000.0,-34559000000.0,-30572000000.0,-12714000000.0
NetOtherInvestingChanges,-2599000000.0,-637000000.0,-6209000000.0,2642000000.0,604000000.0
NetInvestmentPurchaseAndSale,6328000000.0,8263000000.0,-8378000000.0,-14392000000.0,4408000000.0
SaleOfInvestment,18334000000.0,18108000000.0,9293000000.0,7239000000.0,8882000000.0
PurchaseOfInvestment,-12006000000.0,-9845000000.0,-17671000000.0,-21631000000.0,-4474000000.0
NetBusinessPurchaseAndSale,-258000000.0,-455000000.0,-578000000.0,-1743000000.0,-981000000.0
PurchaseOfBusiness,-258000000.0,-455000000.0,-578000000.0,-1743000000.0,-981000000.0
NetPPEPurchaseAndSale,-30876000000.0,-29876000000.0,-19394000000.0,-17079000000.0,-16745000000.0
PurchaseOfPPE,-30876000000.0,-29876000000.0,-19394000000.0,-17079000000.0,-16745000000.0
OperatingCashFlow,46679000000.0,35758000000.0,45057000000.0,42647000000.0,37044000000.0
CashFlowFromContinuingOperatingActivities,46183000000.0,35758000000.0,45057000000.0,42647000000.0,36038000000.0
ChangeInWorkingCapital,331000000.0,-9632000000.0,-218000000.0,3303000000.0,2042000000.0
ChangeInOtherWorkingCapital,2130000000.0,-8403000000.0,-8362000000.0,19404000000.0,266000000.0
ChangeInOtherCurrentLiabilities,923000000.0,1609000000.0,-5984000000.0,4079000000.0,2448000000.0
ChangeInOtherCurrentAssets,-174000000.0,-669000000.0,-1556000000.0,-3268000000.0,558000000.0
ChangeInPayablesAndAccruedExpense,2320000000.0,1197000000.0,-614000000.0,-652000000.0,1179000000.0
ChangeInPayable,2320000000.0,1197000000.0,-614000000.0,-652000000.0,1179000000.0
ChangeInAccountPayable,2320000000.0,1197000000.0,-614000000.0,-652000000.0,1179000000.0
ChangeInTaxPayable,,,,,1298000000.0
ChangeInIncomeTaxPayable,,,,,1298000000.0
ChangeInInventory,-161000000.0,70000000.0,-192000000.0,-81000000.0,52000000.0
ChangeInReceivables,-4707000000.0,-3436000000.0,16490000000.0,-16179000000.0,-2461000000.0
ChangesInAccountReceivables,-4707000000.0,-3436000000.0,16490000000.0,-16179000000.0,-2461000000.0
OtherNonCashItems,496000000.0,,,,1006000000.0
StockBasedCompensation,3081000000.0,3219000000.0,2983000000.0,3073000000.0,2980000000.0
UnrealizedGainLossOnInvestmentSecurities,-1621000000.0,,635000000.0,36000000.0,-135000000.0
AssetImpairmentCharge,37000000.0,,14000000.0,45000000.0,24000000.0
DeferredTax,2602000000.0,4446000000.0,2491000000.0,-2221000000.0,-2244000000.0
DeferredIncomeTax,2602000000.0,4446000000.0,2491000000.0,-2221000000.0,-2244000000.0
DepreciationAmortizationDepletion,10167000000.0,9198000000.0,13061000000.0,11203000000.0,7734000000.0
DepreciationAndAmortization,10167000000.0,9198000000.0,13061000000.0,11203000000.0,7734000000.0
Depreciation,10167000000.0,9198000000.0,13061000000.0,11203000000.0,7734000000.0
OperatingGainsLosses,-192000000.0,-9931000000.0,-1656000000.0,-25000000.0,-187000000.0
GainLossOnInvestmentSecurities,-192000000.0,,-1656000000.0,-25000000.0,-187000000.0
NetIncomeFromContinuingOperations,31778000000.0,38458000000.0,27747000000.0,27233000000.0,25824000000.0
asOfDate,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
