,0,1,2,3,4
TaxEffectOfUnusualItems,281390000.0,65200000.0,187150000.0,495125.091979,69660000.0
TaxRateForCalcs,0.19,0.2,0.19,0.165042,0.18
NormalizedEBITDA,48804000000.0,57854000000.0,47075000000.0,44431000000.0,39318000000.0
TotalUnusualItems,1481000000.0,326000000.0,985000000.0,3000000.0,387000000.0
TotalUnusualItemsExcludingGoodwill,1481000000.0,326000000.0,985000000.0,3000000.0,387000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,31778000000.0,38458000000.0,27747000000.0,27233000000.0,25824000000.0
ReconciledDepreciation,10167000000.0,9198000000.0,13061000000.0,11203000000.0,7734000000.0
ReconciledCostOfRevenue,26828000000.0,25978000000.0,24043000000.0,24014000000.0,21919000000.0
EBITDA,50285000000.0,58180000000.0,48060000000.0,44434000000.0,39705000000.0
EBIT,40118000000.0,48982000000.0,34999000000.0,33231000000.0,31971000000.0
NetInterestIncome,-48000000.0,104000000.0,278000000.0,154000000.0,3000000.0
InterestExpense,778000000.0,736000000.0,698000000.0,615000000.0,594000000.0
InterestIncome,730000000.0,840000000.0,976000000.0,769000000.0,597000000.0
NormalizedIncome,30578390000.0,38197200000.0,26949150000.0,27230495125.09198,25506660000.0
NetIncomeFromContinuingAndDiscontinuedOperation,31778000000.0,38458000000.0,27747000000.0,27233000000.0,25824000000.0
TotalExpenses,44488000000.0,42998000000.0,39712000000.0,42118000000.0,38066000000.0
TotalOperatingIncomeAsReported,38398000000.0,38275000000.0,37961000000.0,34323000000.0,32000000000.0
DilutedAverageShares,7445000000.0,7460000000.0,7466000000.0,7461000000.0,7461000000.0
BasicAverageShares,7426000000.0,7431000000.0,7433000000.0,7432000000.0,7434000000.0
DilutedEPS,4.27,5.16,3.72,3.65,3.46
BasicEPS,4.28,5.18,3.73,3.66,3.47
DilutedNIAvailtoComStockholders,31778000000.0,38458000000.0,27747000000.0,27233000000.0,25824000000.0
NetIncomeCommonStockholders,31778000000.0,38458000000.0,27747000000.0,27233000000.0,25824000000.0
NetIncome,31778000000.0,38458000000.0,27747000000.0,27233000000.0,25824000000.0
NetIncomeIncludingNoncontrollingInterests,31778000000.0,38458000000.0,27747000000.0,27233000000.0,25824000000.0
NetIncomeContinuousOperations,31778000000.0,38458000000.0,27747000000.0,27233000000.0,25824000000.0
TaxProvision,7562000000.0,9788000000.0,6554000000.0,5383000000.0,5553000000.0
PretaxIncome,39340000000.0,48246000000.0,34301000000.0,32616000000.0,31377000000.0
OtherIncomeExpense,990000000.0,9867000000.0,-3938000000.0,-1861000000.0,-626000000.0
OtherNonOperatingIncomeExpenses,-491000000.0,9541000000.0,-4923000000.0,-1864000000.0,-1013000000.0
SpecialIncomeCharges,-37000000.0,-59000000.0,-14000000.0,-45000000.0,-24000000.0
WriteOff,37000000.0,59000000.0,14000000.0,45000000.0,24000000.0
GainOnSaleOfSecurity,1518000000.0,385000000.0,999000000.0,48000000.0,411000000.0
NetNonOperatingInterestIncomeExpense,-48000000.0,104000000.0,278000000.0,154000000.0,3000000.0
InterestExpenseNonOperating,778000000.0,736000000.0,698000000.0,615000000.0,594000000.0
InterestIncomeNonOperating,730000000.0,840000000.0,976000000.0,769000000.0,597000000.0
OperatingIncome,38398000000.0,38275000000.0,37961000000.0,34323000000.0,32000000000.0
OperatingExpense,17660000000.0,17020000000.0,15669000000.0,18104000000.0,16147000000.0
ResearchAndDevelopment,8915000000.0,8504000000.0,8146000000.0,8829000000.0,8198000000.0
SellingGeneralAndAdministration,8745000000.0,8516000000.0,7523000000.0,9275000000.0,7949000000.0
SellingAndMarketingExpense,6814000000.0,6584000000.0,5717000000.0,7285000000.0,6212000000.0
GeneralAndAdministrativeExpense,1931000000.0,1932000000.0,1806000000.0,1990000000.0,1737000000.0
OtherGandA,1931000000.0,1932000000.0,1806000000.0,1990000000.0,1737000000.0
GrossProfit,56058000000.0,55295000000.0,53630000000.0,52427000000.0,48147000000.0
CostOfRevenue,26828000000.0,25978000000.0,24043000000.0,24014000000.0,21919000000.0
TotalRevenue,82886000000.0,81273000000.0,77673000000.0,76441000000.0,70066000000.0
OperatingRevenue,82886000000.0,81273000000.0,77673000000.0,76441000000.0,70066000000.0
asOfDate,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
