,0,1,2,3,4
TreasurySharesNumber,146000000.0,145000000.0,144000000.0,144000000.0,144000000.0
OrdinarySharesNumber,1128000000.0,1126000000.0,1122000000.0,1119000000.0,1118000000.0
ShareIssued,1274000000.0,1271000000.0,1266000000.0,1263000000.0,1262000000.0
NetDebt,,,1891000000.0,2271000000.0,3989000000.0
TotalDebt,10798000000.0,12425000000.0,15278000000.0,16141000000.0,14954000000.0
TangibleBookValue,70841000000.0,57191000000.0,52562000000.0,49172000000.0,47060000000.0
InvestedCapital,79801000000.0,67650000000.0,65698000000.0,63182000000.0,60174000000.0
WorkingCapital,27117000000.0,17605000000.0,17387000000.0,17784000000.0,16812000000.0
NetTangibleAssets,70841000000.0,57191000000.0,52562000000.0,49172000000.0,47060000000.0
CapitalLeaseObligations,3456000000.0,3581000000.0,3745000000.0,3707000000.0,3413000000.0
CommonStockEquity,72459000000.0,58806000000.0,54165000000.0,50748000000.0,48633000000.0
TotalCapitalization,79801000000.0,67650000000.0,65698000000.0,63182000000.0,60174000000.0
TotalEquityGrossMinorityInterest,72459000000.0,58806000000.0,54165000000.0,50748000000.0,48633000000.0
StockholdersEquity,72459000000.0,58806000000.0,54165000000.0,50748000000.0,48633000000.0
GainsLossesNotAffectingRetainedEarnings,-82000000.0,-123000000.0,-32000000.0,-45000000.0,-191000000.0
OtherEquityAdjustments,-82000000.0,-123000000.0,-32000000.0,-45000000.0,-191000000.0
TreasuryStock,8502000000.0,8152000000.0,7852000000.0,7852000000.0,7852000000.0
RetainedEarnings,66824000000.0,53344000000.0,48583000000.0,45559000000.0,43839000000.0
AdditionalPaidInCapital,14092000000.0,13610000000.0,13339000000.0,12960000000.0,12711000000.0
CapitalStock,127000000.0,127000000.0,127000000.0,126000000.0,126000000.0
CommonStock,127000000.0,127000000.0,127000000.0,126000000.0,126000000.0
TotalLiabilitiesNetMinorityInterest,29050000000.0,27165000000.0,28633000000.0,27649000000.0,24420000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,14754000000.0,15105000000.0,17179000000.0,17514000000.0,16543000000.0
OtherNonCurrentLiabilities,3539000000.0,2101000000.0,1443000000.0,1308000000.0,1257000000.0
NonCurrentDeferredLiabilities,1002000000.0,1148000000.0,1018000000.0,603000000.0,836000000.0
NonCurrentDeferredRevenue,1002000000.0,1148000000.0,1018000000.0,603000000.0,836000000.0
LongTermDebtAndCapitalLeaseObligation,10213000000.0,11856000000.0,14718000000.0,15603000000.0,14450000000.0
LongTermCapitalLeaseObligation,2871000000.0,3012000000.0,3185000000.0,3169000000.0,2909000000.0
LongTermDebt,7342000000.0,8844000000.0,11533000000.0,12434000000.0,11541000000.0
CurrentLiabilities,14296000000.0,12060000000.0,11454000000.0,10135000000.0,7877000000.0
OtherCurrentLiabilities,2714000000.0,1695000000.0,1245000000.0,836000000.0,1197000000.0
CurrentDebtAndCapitalLeaseObligation,585000000.0,569000000.0,560000000.0,538000000.0,504000000.0
CurrentCapitalLeaseObligation,585000000.0,569000000.0,560000000.0,538000000.0,504000000.0
CurrentDebt,,,,,
OtherCurrentBorrowings,,,,,
LineOfCredit,,,,0.0,
PayablesAndAccruedExpenses,10997000000.0,9796000000.0,9649000000.0,8761000000.0,6176000000.0
CurrentAccruedExpenses,1371000000.0,1551000000.0,1498000000.0,1237000000.0,912000000.0
Payables,9626000000.0,8245000000.0,8151000000.0,7524000000.0,5264000000.0
OtherPayable,4840000000.0,4295000000.0,4391000000.0,4370000000.0,2515000000.0
TotalTaxPayable,1399000000.0,723000000.0,628000000.0,397000000.0,366000000.0
AccountsPayable,3387000000.0,3227000000.0,3132000000.0,2757000000.0,2383000000.0
TotalAssets,101509000000.0,85971000000.0,82798000000.0,78397000000.0,73053000000.0
TotalNonCurrentAssets,60096000000.0,56306000000.0,53957000000.0,50478000000.0,48364000000.0
OtherNonCurrentAssets,3668000000.0,3176000000.0,2783000000.0,1616000000.0,1699000000.0
NonCurrentDeferredAssets,680000000.0,641000000.0,616000000.0,483000000.0,552000000.0
NonCurrentDeferredTaxesAssets,680000000.0,641000000.0,616000000.0,483000000.0,552000000.0
InvestmentsAndAdvances,2038000000.0,1697000000.0,1629000000.0,1402000000.0,1375000000.0
InvestmentinFinancialAssets,2038000000.0,1697000000.0,1629000000.0,1402000000.0,1375000000.0
AvailableForSaleSecurities,2038000000.0,1697000000.0,1629000000.0,1402000000.0,1375000000.0
GoodwillAndOtherIntangibleAssets,1618000000.0,1615000000.0,1603000000.0,1576000000.0,1573000000.0
OtherIntangibleAssets,468000000.0,465000000.0,453000000.0,426000000.0,423000000.0
Goodwill,1150000000.0,1150000000.0,1150000000.0,1150000000.0,1150000000.0
NetPPE,52092000000.0,49177000000.0,47326000000.0,45401000000.0,43165000000.0
AccumulatedDepreciation,-66887000000.0,-65013000000.0,-63106000000.0,-61425000000.0,-59732000000.0
GrossPPE,118979000000.0,114190000000.0,110432000000.0,106826000000.0,102897000000.0
ConstructionInProgress,7485000000.0,5693000000.0,5518000000.0,4937000000.0,4427000000.0
OtherProperties,86005000000.0,83539000000.0,80670000000.0,77998000000.0,75661000000.0
MachineryFurnitureEquipment,1764000000.0,1678000000.0,1651000000.0,1636000000.0,1518000000.0
BuildingsAndImprovements,23305000000.0,22860000000.0,22173000000.0,21835000000.0,20939000000.0
LandAndImprovements,420000000.0,420000000.0,420000000.0,420000000.0,352000000.0
Properties,0.0,0.0,0.0,0.0,0.0
CurrentAssets,41413000000.0,29665000000.0,28841000000.0,27919000000.0,24689000000.0
OtherCurrentAssets,1243000000.0,958000000.0,914000000.0,945000000.0,963000000.0
Inventory,8267000000.0,8205000000.0,8355000000.0,8727000000.0,9007000000.0
FinishedGoods,812000000.0,1142000000.0,1094000000.0,1223000000.0,1355000000.0
WorkInProcess,6514000000.0,6192000000.0,6401000000.0,6695000000.0,6782000000.0
RawMaterials,941000000.0,871000000.0,860000000.0,809000000.0,870000000.0
Receivables,17314000000.0,10184000000.0,9265000000.0,7436000000.0,6504000000.0
OtherReceivables,1455000000.0,1734000000.0,1666000000.0,1530000000.0,1081000000.0
TaxesReceivable,470000000.0,441000000.0,436000000.0,414000000.0,331000000.0
AccountsReceivable,15389000000.0,8009000000.0,7163000000.0,5492000000.0,5092000000.0
CashCashEquivalentsAndShortTermInvestments,14589000000.0,10318000000.0,10307000000.0,10811000000.0,8215000000.0
OtherShortTermInvestments,681000000.0,587000000.0,665000000.0,648000000.0,663000000.0
CashAndCashEquivalents,13908000000.0,9731000000.0,9642000000.0,10163000000.0,7552000000.0
CashEquivalents,2438000000.0,1290000000.0,1767000000.0,1832000000.0,218000000.0
CashFinancial,11470000000.0,8441000000.0,7875000000.0,8331000000.0,7334000000.0
asOfDate,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
