,0,1,2,3,4
FreeCashFlow,5516000000.0,3022000000.0,72000000.0,1671000000.0,-113000000.0
RepurchaseOfCapitalStock,-350000000.0,-300000000.0,,,0.0
RepaymentOfDebt,-1683000000.0,-2943000000.0,-1015000000.0,-978000000.0,-2542000000.0
IssuanceOfDebt,,,0.0,1748000000.0,
CapitalExpenditure,-6387000000.0,-5389000000.0,-5658000000.0,-2938000000.0,-4055000000.0
EndCashPosition,13934000000.0,9732000000.0,9646000000.0,10169000000.0,7563000000.0
BeginningCashPosition,9732000000.0,9646000000.0,10169000000.0,7563000000.0,6697000000.0
EffectOfExchangeRateChanges,-9000000.0,14000000.0,9000000.0,46000000.0,-20000000.0
ChangesInCash,4211000000.0,72000000.0,-532000000.0,2560000000.0,886000000.0
FinancingCashFlow,-2167000000.0,-3745000000.0,-1064000000.0,540000000.0,96000000.0
CashFlowFromContinuingFinancingActivities,-2167000000.0,-3745000000.0,-1064000000.0,540000000.0,96000000.0
NetOtherFinancingCharges,176000000.0,-1000000.0,81000000.0,-351000000.0,86000000.0
ProceedsFromStockOptionExercised,-178000000.0,-367000000.0,,,-45000000.0
CashDividendsPaid,-132000000.0,-134000000.0,-130000000.0,-131000000.0,-130000000.0
CommonStockDividendPaid,-132000000.0,-134000000.0,-130000000.0,-131000000.0,-130000000.0
NetCommonStockIssuance,-350000000.0,-300000000.0,,,0.0
CommonStockPayments,-350000000.0,-300000000.0,,,0.0
NetIssuancePaymentsOfDebt,-1683000000.0,-2943000000.0,-1015000000.0,770000000.0,140000000.0
NetLongTermDebtIssuance,-1683000000.0,-2943000000.0,-1015000000.0,770000000.0,140000000.0
LongTermDebtPayments,-1683000000.0,-2943000000.0,-1015000000.0,-978000000.0,-2542000000.0
LongTermDebtIssuance,,,0.0,1748000000.0,
InvestingCashFlow,-5525000000.0,-4594000000.0,-5198000000.0,-2589000000.0,-3152000000.0
CashFlowFromContinuingInvestingActivities,-5525000000.0,-4594000000.0,-5198000000.0,-2589000000.0,-3152000000.0
NetOtherInvestingChanges,1294000000.0,782000000.0,698000000.0,361000000.0,896000000.0
NetInvestmentPurchaseAndSale,-432000000.0,13000000.0,-238000000.0,-12000000.0,7000000.0
SaleOfInvestment,433000000.0,268000000.0,449000000.0,375000000.0,446000000.0
PurchaseOfInvestment,-865000000.0,-255000000.0,-687000000.0,-387000000.0,-439000000.0
CapitalExpenditureReported,-6387000000.0,-5389000000.0,-5658000000.0,-2938000000.0,-4055000000.0
OperatingCashFlow,11903000000.0,8411000000.0,5730000000.0,4609000000.0,3942000000.0
CashFlowFromContinuingOperatingActivities,11903000000.0,8411000000.0,5730000000.0,4609000000.0,3942000000.0
ChangeInWorkingCapital,-4138000000.0,431000000.0,158000000.0,-190000000.0,283000000.0
ChangeInOtherCurrentLiabilities,2579000000.0,996000000.0,409000000.0,-555000000.0,-97000000.0
ChangeInOtherCurrentAssets,,,,-2000000.0,
ChangeInPayablesAndAccruedExpense,772000000.0,156000000.0,824000000.0,752000000.0,-473000000.0
ChangeInInventory,-62000000.0,150000000.0,372000000.0,280000000.0,-302000000.0
ChangeInReceivables,-7427000000.0,-871000000.0,-1653000000.0,-461000000.0,1155000000.0
OtherNonCashItems,-339000000.0,238000000.0,-28000000.0,567000000.0,-252000000.0
StockBasedCompensation,309000000.0,290000000.0,250000000.0,253000000.0,249000000.0
AssetImpairmentCharge,,,,,
DepreciationAmortizationDepletion,2286000000.0,2212000000.0,2149000000.0,2094000000.0,2079000000.0
DepreciationAndAmortization,2286000000.0,2212000000.0,2149000000.0,2094000000.0,2079000000.0
NetIncomeFromContinuingOperations,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
asOfDate,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
