,0,1,2,3,4
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.147,0.137,0.118149,0.111,0.101
NormalizedEBITDA,18478000000.0,8347000000.0,5904000000.0,4330000000.0,3949000000.0
TotalUnusualItems,,,,,
TotalUnusualItemsExcludingGoodwill,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
ReconciledDepreciation,2286000000.0,2212000000.0,2149000000.0,2094000000.0,2079000000.0
ReconciledCostOfRevenue,6105000000.0,5997000000.0,6261000000.0,5793000000.0,5090000000.0
EBITDA,18478000000.0,8347000000.0,5904000000.0,4330000000.0,3949000000.0
EBIT,16192000000.0,6135000000.0,3755000000.0,2236000000.0,1870000000.0
NetInterestIncome,123000000.0,65000000.0,22000000.0,12000000.0,-4000000.0
InterestExpense,32000000.0,74000000.0,124000000.0,123000000.0,112000000.0
InterestIncome,155000000.0,139000000.0,146000000.0,135000000.0,108000000.0
NormalizedIncome,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
TotalExpenses,7725000000.0,7507000000.0,7622000000.0,7132000000.0,6280000000.0
TotalOperatingIncomeAsReported,16135000000.0,6136000000.0,3654000000.0,2169000000.0,1773000000.0
DilutedAverageShares,1142000000.0,1138000000.0,1131000000.0,1125000000.0,1123000000.0
BasicAverageShares,1126000000.0,1125000000.0,1120000000.0,1118000000.0,1115000000.0
DilutedEPS,12.07,4.6,2.83,1.68,1.41
BasicEPS,12.25,4.66,2.86,1.69,1.42
DilutedNIAvailtoComStockholders,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
NetIncomeCommonStockholders,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
NetIncome,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
NetIncomeIncludingNoncontrollingInterests,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
NetIncomeContinuousOperations,13785000000.0,5240000000.0,3201000000.0,1885000000.0,1583000000.0
EarningsFromEquityInterestNetOfTax,-4000000.0,8000000.0,-1000000.0,7000000.0,2000000.0
TaxProvision,2371000000.0,829000000.0,429000000.0,235000000.0,177000000.0
PretaxIncome,16160000000.0,6061000000.0,3631000000.0,2113000000.0,1758000000.0
OtherIncomeExpense,-98000000.0,-140000000.0,-84000000.0,-68000000.0,-11000000.0
OtherNonOperatingIncomeExpenses,-98000000.0,-140000000.0,86000000.0,-68000000.0,-11000000.0
SpecialIncomeCharges,,,,,
GainOnSaleOfPPE,,,,,
WriteOff,,,,,
RestructuringAndMergernAcquisition,,,,,
NetNonOperatingInterestIncomeExpense,123000000.0,65000000.0,22000000.0,12000000.0,-4000000.0
InterestExpenseNonOperating,32000000.0,74000000.0,124000000.0,123000000.0,112000000.0
InterestIncomeNonOperating,155000000.0,139000000.0,146000000.0,135000000.0,108000000.0
OperatingIncome,16135000000.0,6136000000.0,3693000000.0,2169000000.0,1773000000.0
OperatingExpense,1620000000.0,1510000000.0,1361000000.0,1339000000.0,1190000000.0
OtherOperatingExpenses,26000000.0,2000000.0,0.0,56000000.0,7000000.0
ResearchAndDevelopment,1250000000.0,1171000000.0,1047000000.0,965000000.0,898000000.0
SellingGeneralAndAdministration,344000000.0,337000000.0,314000000.0,318000000.0,285000000.0
GrossProfit,17755000000.0,7646000000.0,5054000000.0,3508000000.0,2963000000.0
CostOfRevenue,6105000000.0,5997000000.0,6261000000.0,5793000000.0,5090000000.0
TotalRevenue,23860000000.0,13643000000.0,11315000000.0,9301000000.0,8053000000.0
OperatingRevenue,23860000000.0,13643000000.0,11315000000.0,9301000000.0,8053000000.0
asOfDate,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
