,0,1,2,3,4
FreeCashFlow,34904000000.0,22115000000.0,13470000000.0,26187000000.0,15552000000.0
RepurchaseOfCapitalStock,-3815000000.0,-12456000000.0,-9720000000.0,-14095000000.0,-7811000000.0
RepaymentOfDebt,0.0,0.0,,,0.0
CapitalExpenditure,-1284000000.0,-1636000000.0,-1895000000.0,-1227000000.0,-1077000000.0
IncomeTaxPaidSupplementalData,6979000000.0,4858000000.0,,,4129000000.0
EndCashPosition,10605000000.0,11486000000.0,11639000000.0,15234000000.0,8589000000.0
BeginningCashPosition,11486000000.0,11639000000.0,15234000000.0,8589000000.0,9107000000.0
ChangesInCash,-881000000.0,-153000000.0,-3595000000.0,6645000000.0,-518000000.0
FinancingCashFlow,-6208000000.0,-14880000000.0,-11833000000.0,-15553000000.0,-9949000000.0
CashFlowFromContinuingFinancingActivities,-6208000000.0,-14880000000.0,-11833000000.0,-15553000000.0,-9949000000.0
NetOtherFinancingCharges,-2152000000.0,-2453000000.0,-1869000000.0,-1584000000.0,-1894000000.0
ProceedsFromStockOptionExercised,1000000.0,273000000.0,0.0,370000000.0,1000000.0
CashDividendsPaid,-242000000.0,-244000000.0,-244000000.0,-244000000.0,-245000000.0
CommonStockDividendPaid,-242000000.0,-244000000.0,-244000000.0,-244000000.0,-245000000.0
NetCommonStockIssuance,-3815000000.0,-12456000000.0,-9720000000.0,-14095000000.0,-7811000000.0
CommonStockPayments,-3815000000.0,-12456000000.0,-9720000000.0,-14095000000.0,-7811000000.0
NetIssuancePaymentsOfDebt,0.0,0.0,,,0.0
NetLongTermDebtIssuance,0.0,0.0,,,0.0
LongTermDebtPayments,0.0,0.0,,,0.0
InvestingCashFlow,-30861000000.0,-9024000000.0,-7127000000.0,-5216000000.0,-7198000000.0
CashFlowFromContinuingInvestingActivities,-30861000000.0,-9024000000.0,-7127000000.0,-5216000000.0,-7198000000.0
NetInvestmentPurchaseAndSale,-16412000000.0,-6695000000.0,-4938000000.0,-3606000000.0,-5601000000.0
SaleOfInvestment,16928000000.0,2730000000.0,3220000000.0,3589000000.0,1887000000.0
PurchaseOfInvestment,-33340000000.0,-9425000000.0,-8158000000.0,-7195000000.0,-7488000000.0
NetBusinessPurchaseAndSale,-13165000000.0,-693000000.0,-294000000.0,-383000000.0,-542000000.0
SaleOfBusiness,,,,,
PurchaseOfBusiness,-13165000000.0,-693000000.0,-294000000.0,-383000000.0,-542000000.0
NetPPEPurchaseAndSale,-1284000000.0,-1636000000.0,-1895000000.0,-1227000000.0,-1077000000.0
PurchaseOfPPE,-1284000000.0,-1636000000.0,-1895000000.0,-1227000000.0,-1077000000.0
OperatingCashFlow,36188000000.0,23751000000.0,15365000000.0,27414000000.0,16629000000.0
CashFlowFromContinuingOperatingActivities,36188000000.0,23751000000.0,15365000000.0,27414000000.0,16629000000.0
ChangeInWorkingCapital,-4325000000.0,-9256000000.0,-11022000000.0,8654000000.0,-5863000000.0
ChangeInOtherCurrentLiabilities,533000000.0,332000000.0,629000000.0,350000000.0,372000000.0
ChangeInPayablesAndAccruedExpense,2117000000.0,906000000.0,-2739000000.0,8069000000.0,1227000000.0
ChangeInAccruedExpense,1053000000.0,1129000000.0,-4053000000.0,7128000000.0,360000000.0
ChangeInPayable,1064000000.0,-223000000.0,1314000000.0,941000000.0,867000000.0
ChangeInAccountPayable,1064000000.0,-223000000.0,1314000000.0,941000000.0,867000000.0
ChangeInPrepaidAssets,-280000000.0,-89000000.0,386000000.0,560000000.0,331000000.0
ChangeInInventory,-1621000000.0,-4823000000.0,-3622000000.0,-1258000000.0,-2424000000.0
ChangeInReceivables,-5074000000.0,-5582000000.0,-5676000000.0,933000000.0,-5369000000.0
ChangesInAccountReceivables,-5074000000.0,-5582000000.0,-5676000000.0,933000000.0,-5369000000.0
OtherNonCashItems,-11000000.0,-80000000.0,-98000000.0,-98000000.0,-137000000.0
StockBasedCompensation,1633000000.0,1654000000.0,1625000000.0,1474000000.0,1321000000.0
DeferredTax,611000000.0,125000000.0,17000000.0,-2177000000.0,-598000000.0
DeferredIncomeTax,611000000.0,125000000.0,17000000.0,-2177000000.0,-598000000.0
DepreciationAmortizationDepletion,812000000.0,751000000.0,669000000.0,611000000.0,543000000.0
DepreciationAndAmortization,812000000.0,751000000.0,669000000.0,611000000.0,543000000.0
OperatingGainsLosses,-5492000000.0,-1353000000.0,-2248000000.0,175000000.0,-728000000.0
GainLossOnInvestmentSecurities,-5492000000.0,-1353000000.0,-2248000000.0,175000000.0,-728000000.0
GainLossOnSaleOfBusiness,,,,,
NetIncomeFromContinuingOperations,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
asOfDate,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
