,0,1,2,3,4
FreeCashFlow,2993000000.0,980000000.0,438000000.0,49000000.0,-18000000.0
RepaymentOfDebt,-650000000.0,-750000000.0,-500000000.0,-100000000.0,0.0
IssuanceOfDebt,0.0,0.0,0.0,0.0,1970000000.0
CapitalExpenditure,-45000000.0,-39000000.0,-50000000.0,-45000000.0,-44000000.0
InterestPaidSupplementalData,49000000.0,14000000.0,48000000.0,37000000.0,3000000.0
IncomeTaxPaidSupplementalData,25000000.0,53000000.0,39000000.0,40000000.0,10000000.0
EndCashPosition,3735000000.0,1539000000.0,1442000000.0,1481000000.0,1507000000.0
OtherCashAdjustmentOutsideChangeinCash,,,0.0,,
BeginningCashPosition,1539000000.0,1442000000.0,1481000000.0,1507000000.0,804000000.0
EffectOfExchangeRateChanges,-7000000.0,1000000.0,3000000.0,-1000000.0,-3000000.0
ChangesInCash,2203000000.0,96000000.0,-42000000.0,-25000000.0,706000000.0
FinancingCashFlow,-752000000.0,-758000000.0,-515000000.0,-102000000.0,276000000.0
CashFlowFromContinuingFinancingActivities,-752000000.0,-758000000.0,-515000000.0,-102000000.0,276000000.0
NetOtherFinancingCharges,-102000000.0,-32000000.0,-15000000.0,-7000000.0,-1694000000.0
ProceedsFromStockOptionExercised,0.0,,,,0.0
NetIssuancePaymentsOfDebt,-650000000.0,-750000000.0,-500000000.0,-100000000.0,1970000000.0
NetShortTermDebtIssuance,,,0.0,0.0,
ShortTermDebtPayments,,,0.0,0.0,
ShortTermDebtIssuance,,,0.0,0.0,
NetLongTermDebtIssuance,-650000000.0,-750000000.0,-500000000.0,-100000000.0,1395000000.0
LongTermDebtPayments,-650000000.0,-750000000.0,-500000000.0,,76000000.0
LongTermDebtIssuance,0.0,,,0.0,1319000000.0
InvestingCashFlow,-83000000.0,-165000000.0,-15000000.0,-17000000.0,404000000.0
CashFlowFromContinuingInvestingActivities,-83000000.0,-165000000.0,-15000000.0,-17000000.0,404000000.0
NetOtherInvestingChanges,-38000000.0,-137000000.0,10000000.0,28000000.0,238000000.0
DividendsReceivedCFI,0.0,,,0.0,0.0
NetBusinessPurchaseAndSale,0.0,11000000.0,25000000.0,0.0,210000000.0
SaleOfBusiness,0.0,11000000.0,25000000.0,0.0,210000000.0
NetPPEPurchaseAndSale,-45000000.0,-39000000.0,-50000000.0,-45000000.0,-44000000.0
SaleOfPPE,,,,0.0,0.0
PurchaseOfPPE,-45000000.0,-39000000.0,-50000000.0,-45000000.0,-44000000.0
OperatingCashFlow,3038000000.0,1019000000.0,488000000.0,94000000.0,26000000.0
CashFlowFromContinuingOperatingActivities,3038000000.0,1019000000.0,488000000.0,94000000.0,26000000.0
ChangeInWorkingCapital,-709000000.0,63000000.0,250000000.0,56000000.0,51000000.0
ChangeInOtherWorkingCapital,370000000.0,110000000.0,95000000.0,-4000000.0,68000000.0
ChangeInPayablesAndAccruedExpense,676000000.0,62000000.0,108000000.0,68000000.0,14000000.0
ChangeInAccruedExpense,73000000.0,70000000.0,-8000000.0,69000000.0,-54000000.0
ChangeInPayable,603000000.0,-8000000.0,116000000.0,-1000000.0,68000000.0
ChangeInAccountPayable,-37000000.0,-8000000.0,116000000.0,-1000000.0,68000000.0
ChangeInInventory,-268000000.0,-63000000.0,172000000.0,81000000.0,11000000.0
ChangeInReceivables,-1487000000.0,-46000000.0,-125000000.0,-89000000.0,-42000000.0
ChangesInAccountReceivables,-1487000000.0,-46000000.0,-125000000.0,-89000000.0,-42000000.0
OtherNonCashItems,-6000000.0,36000000.0,-4000000.0,8000000.0,5000000.0
StockBasedCompensation,54000000.0,58000000.0,53000000.0,49000000.0,44000000.0
AssetImpairmentCharge,0.0,,,0.0,1830000000.0
DeferredTax,-32000000.0,-13000000.0,3000000.0,-19000000.0,-16000000.0
DeferredIncomeTax,-32000000.0,-13000000.0,3000000.0,-19000000.0,-16000000.0
DepreciationAmortizationDepletion,38000000.0,38000000.0,36000000.0,36000000.0,37000000.0
DepreciationAndAmortization,38000000.0,38000000.0,36000000.0,36000000.0,37000000.0
OperatingGainsLosses,78000000.0,29000000.0,38000000.0,-13000000.0,8000000.0
EarningsLossesFromEquityInvestments,12000000.0,19000000.0,27000000.0,6000000.0,9000000.0
GainLossOnInvestmentSecurities,0.0,,,,
NetForeignCurrencyExchangeGainLoss,19000000.0,19000000.0,1000000.0,-19000000.0,-1000000.0
GainLossOnSaleOfBusiness,0.0,0.0,10000000.0,0.0,0.0
NetIncomeFromContinuingOperations,3615000000.0,803000000.0,112000000.0,-23000000.0,-1933000000.0
asOfDate,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
