,0,1,2,3,4
TaxEffectOfUnusualItems,-6360000.0,-1400000.0,-1600000.0,-6930000.0,-386190000.0
TaxRateForCalcs,0.12,0.14,0.1,0.21,0.21
NormalizedEBITDA,4204000000.0,1010000000.0,216000000.0,92000000.0,-9000000.0
TotalUnusualItems,-53000000.0,-10000000.0,-16000000.0,-33000000.0,-1839000000.0
TotalUnusualItemsExcludingGoodwill,-53000000.0,-10000000.0,-16000000.0,-33000000.0,-1839000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,3615000000.0,803000000.0,112000000.0,-23000000.0,-1933000000.0
ReconciledDepreciation,38000000.0,38000000.0,36000000.0,36000000.0,37000000.0
ReconciledCostOfRevenue,1288000000.0,1484000000.0,1621000000.0,1403000000.0,1313000000.0
EBITDA,4151000000.0,1000000000.0,200000000.0,59000000.0,-1848000000.0
EBIT,4113000000.0,962000000.0,164000000.0,23000000.0,-1885000000.0
NetInterestIncome,6000000.0,-13000000.0,-24000000.0,-30000000.0,-10000000.0
InterestExpense,6000000.0,25000000.0,40000000.0,41000000.0,16000000.0
InterestIncome,12000000.0,12000000.0,16000000.0,11000000.0,6000000.0
NormalizedIncome,3661640000.0,811600000.0,126400000.0,3070000.0,-480190000.0
NetIncomeFromContinuingAndDiscontinuedOperation,3615000000.0,803000000.0,112000000.0,-23000000.0,-1933000000.0
TotalExpenses,1786000000.0,1950000000.0,2116000000.0,1850000000.0,1737000000.0
TotalOperatingIncomeAsReported,4111000000.0,1065000000.0,176000000.0,18000000.0,-1881000000.0
DilutedAverageShares,157000000.0,156000000.0,149000000.0,145000000.0,145000000.0
BasicAverageShares,148000000.0,147000000.0,146000000.0,145000000.0,145000000.0
DilutedEPS,23.03,5.15,0.75,-0.16,-13.33
BasicEPS,24.43,5.46,0.77,-0.16,-13.33
DilutedNIAvailtoComStockholders,3615000000.0,803000000.0,112000000.0,-23000000.0,-1933000000.0
NetIncomeCommonStockholders,3615000000.0,803000000.0,112000000.0,-23000000.0,-1933000000.0
NetIncome,3615000000.0,803000000.0,112000000.0,-23000000.0,-1933000000.0
NetIncomeIncludingNoncontrollingInterests,3615000000.0,803000000.0,112000000.0,-23000000.0,-1933000000.0
NetIncomeContinuousOperations,3615000000.0,803000000.0,112000000.0,-23000000.0,-1933000000.0
TaxProvision,492000000.0,134000000.0,12000000.0,5000000.0,32000000.0
PretaxIncome,4107000000.0,937000000.0,124000000.0,-18000000.0,-1901000000.0
OtherIncomeExpense,-63000000.0,-125000000.0,-44000000.0,-39000000.0,-1849000000.0
OtherNonOperatingIncomeExpenses,-10000000.0,-115000000.0,-28000000.0,-6000000.0,-10000000.0
SpecialIncomeCharges,-53000000.0,-10000000.0,-16000000.0,-33000000.0,-1839000000.0
GainOnSaleOfBusiness,-7000000.0,-9000000.0,-19000000.0,-17000000.0,-9000000.0
OtherSpecialCharges,46000000.0,,,,
ImpairmentOfCapitalAssets,0.0,,,0.0,1830000000.0
RestructuringAndMergernAcquisition,0.0,1000000.0,-3000000.0,16000000.0,0.0
NetNonOperatingInterestIncomeExpense,6000000.0,-13000000.0,-24000000.0,-30000000.0,-10000000.0
InterestExpenseNonOperating,6000000.0,25000000.0,40000000.0,41000000.0,16000000.0
InterestIncomeNonOperating,12000000.0,12000000.0,16000000.0,11000000.0,6000000.0
OperatingIncome,4164000000.0,1075000000.0,192000000.0,51000000.0,-42000000.0
OperatingExpense,498000000.0,466000000.0,495000000.0,447000000.0,424000000.0
OtherOperatingExpenses,,,,,
ResearchAndDevelopment,337000000.0,327000000.0,316000000.0,285000000.0,285000000.0
SellingGeneralAndAdministration,161000000.0,139000000.0,179000000.0,162000000.0,139000000.0
SellingAndMarketingExpense,,,,,
GrossProfit,4662000000.0,1541000000.0,687000000.0,498000000.0,382000000.0
CostOfRevenue,1288000000.0,1484000000.0,1621000000.0,1403000000.0,1313000000.0
TotalRevenue,5950000000.0,3025000000.0,2308000000.0,1901000000.0,1695000000.0
OperatingRevenue,5950000000.0,3025000000.0,2308000000.0,1901000000.0,1695000000.0
asOfDate,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
