,0,1,2,3,4
OrdinarySharesNumber,7969000000.0,7972000000.0,7975000000.0,7986000000.0,8024000000.0
ShareIssued,7969000000.0,7972000000.0,7975000000.0,7986000000.0,8024000000.0
NetDebt,34035000000.0,35787000000.0,34057000000.0,36889000000.0,30030000000.0
TotalDebt,67095000000.0,68424000000.0,65014000000.0,67205000000.0,60114000000.0
TangibleBookValue,70882000000.0,67372000000.0,61050000000.0,54927000000.0,62221000000.0
InvestedCapital,144379000000.0,142463000000.0,133598000000.0,129993000000.0,130080000000.0
WorkingCapital,-22595000000.0,-22812000000.0,-21533000000.0,-22667000000.0,-17126000000.0
NetTangibleAssets,70882000000.0,67372000000.0,61050000000.0,54927000000.0,62221000000.0
CapitalLeaseObligations,22333000000.0,22055000000.0,21526000000.0,21005000000.0,21047000000.0
CommonStockEquity,99617000000.0,96094000000.0,90110000000.0,83793000000.0,91013000000.0
TotalCapitalization,134241000000.0,130539000000.0,125750000000.0,120313000000.0,124414000000.0
TotalEquityGrossMinorityInterest,106180000000.0,102512000000.0,96857000000.0,90648000000.0,97692000000.0
MinorityInterest,6563000000.0,6418000000.0,6747000000.0,6855000000.0,6679000000.0
StockholdersEquity,99617000000.0,96094000000.0,90110000000.0,83793000000.0,91013000000.0
GainsLossesNotAffectingRetainedEarnings,-12770000000.0,-13124000000.0,-12733000000.0,-13296000000.0,-13605000000.0
OtherEquityAdjustments,-12770000000.0,-13124000000.0,-12733000000.0,-682000000.0,-13605000000.0
ForeignCurrencyTranslationAdjustments,,,,-12614000000.0,-12661000000.0
RetainedEarnings,104774000000.0,101558000000.0,96328000000.0,90849000000.0,98313000000.0
AdditionalPaidInCapital,6816000000.0,6863000000.0,5718000000.0,5441000000.0,5503000000.0
CapitalStock,797000000.0,797000000.0,797000000.0,799000000.0,802000000.0
CommonStock,797000000.0,797000000.0,797000000.0,799000000.0,802000000.0
TotalLiabilitiesNetMinorityInterest,178488000000.0,186143000000.0,173980000000.0,171724000000.0,163131000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,71019000000.0,70411000000.0,70414000000.0,68804000000.0,66547000000.0
OtherNonCurrentLiabilities,16549000000.0,16345000000.0,15656000000.0,13609000000.0,14398000000.0
LongTermDebtAndCapitalLeaseObligation,54470000000.0,54066000000.0,54758000000.0,55195000000.0,52149000000.0
LongTermCapitalLeaseObligation,19846000000.0,19621000000.0,19118000000.0,18675000000.0,18748000000.0
LongTermDebt,34624000000.0,34445000000.0,35640000000.0,36520000000.0,33401000000.0
CurrentLiabilities,107469000000.0,115732000000.0,103566000000.0,102920000000.0,96584000000.0
CurrentDeferredLiabilities,2941000000.0,,,,2755000000.0
CurrentDeferredRevenue,2941000000.0,,,,2755000000.0
CurrentDebtAndCapitalLeaseObligation,12625000000.0,14358000000.0,10256000000.0,12010000000.0,7965000000.0
CurrentCapitalLeaseObligation,2487000000.0,2434000000.0,2408000000.0,2330000000.0,2299000000.0
CurrentDebt,10138000000.0,11924000000.0,7848000000.0,9680000000.0,5666000000.0
OtherCurrentBorrowings,10138000000.0,11924000000.0,7848000000.0,9680000000.0,5666000000.0
PayablesAndAccruedExpenses,91903000000.0,101374000000.0,93310000000.0,90910000000.0,85864000000.0
CurrentAccruedExpenses,24136000000.0,31521000000.0,28821000000.0,26085000000.0,23087000000.0
Payables,67767000000.0,69853000000.0,64489000000.0,64825000000.0,62777000000.0
DividendsPayable,,1908000000.0,3783000000.0,5660000000.0,
TotalTaxPayable,4706000000.0,789000000.0,620000000.0,1465000000.0,4111000000.0
IncomeTaxPayable,596000000.0,789000000.0,620000000.0,1465000000.0,608000000.0
AccountsPayable,63061000000.0,67156000000.0,60086000000.0,57700000000.0,58666000000.0
TotalAssets,284668000000.0,288655000000.0,270837000000.0,262372000000.0,260823000000.0
TotalNonCurrentAssets,199794000000.0,195735000000.0,188804000000.0,182119000000.0,181365000000.0
OtherNonCurrentAssets,14103000000.0,16173000000.0,14187000000.0,12369000000.0,12869000000.0
GoodwillAndOtherIntangibleAssets,28735000000.0,28722000000.0,29060000000.0,28866000000.0,28792000000.0
Goodwill,28735000000.0,28722000000.0,29060000000.0,28866000000.0,28792000000.0
NetPPE,156956000000.0,150840000000.0,145557000000.0,140884000000.0,139704000000.0
AccumulatedDepreciation,-120338000000.0,,,,-111624000000.0
GrossPPE,277294000000.0,150840000000.0,145557000000.0,140884000000.0,251328000000.0
ConstructionInProgress,18728000000.0,,,,15403000000.0
OtherProperties,20873000000.0,150840000000.0,145557000000.0,140884000000.0,19711000000.0
MachineryFurnitureEquipment,88467000000.0,,,,78899000000.0
BuildingsAndImprovements,128472000000.0,,,,117973000000.0
LandAndImprovements,20754000000.0,,,,19342000000.0
Properties,0.0,,,,0.0
CurrentAssets,84874000000.0,92920000000.0,82033000000.0,80253000000.0,79458000000.0
OtherCurrentAssets,4124000000.0,4869000000.0,4355000000.0,3789000000.0,4011000000.0
Inventory,58851000000.0,65354000000.0,57729000000.0,57467000000.0,56435000000.0
Receivables,11172000000.0,12115000000.0,10518000000.0,9686000000.0,9975000000.0
AccountsReceivable,11172000000.0,12115000000.0,10518000000.0,9686000000.0,9975000000.0
CashCashEquivalentsAndShortTermInvestments,10727000000.0,10582000000.0,9431000000.0,9311000000.0,9037000000.0
CashAndCashEquivalents,10727000000.0,10582000000.0,9431000000.0,9311000000.0,9037000000.0
asOfDate,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
