,0,1,2,3,4
FreeCashFlow,6098000000.0,1882000000.0,6518000000.0,425000000.0,6438000000.0
RepurchaseOfCapitalStock,-1080000000.0,-808000000.0,-1645000000.0,-4555000000.0,-1445000000.0
RepaymentOfDebt,0.0,-1750000000.0,-875000000.0,0.0,-651000000.0
IssuanceOfDebt,0.0,0.0,0.0,3983000000.0,0.0
CapitalExpenditure,-8015000000.0,-7218000000.0,-6423000000.0,-4986000000.0,-7087000000.0
EndCashPosition,11321000000.0,11097000000.0,9877000000.0,9932000000.0,9536000000.0
BeginningCashPosition,11097000000.0,9877000000.0,9932000000.0,9536000000.0,10168000000.0
EffectOfExchangeRateChanges,-28000000.0,-30000000.0,111000000.0,70000000.0,-290000000.0
ChangesInCash,252000000.0,1250000000.0,-166000000.0,326000000.0,-342000000.0
FinancingCashFlow,-6541000000.0,-19000000.0,-7001000000.0,8000000.0,-5149000000.0
CashFlowFromContinuingFinancingActivities,-6541000000.0,-19000000.0,-7001000000.0,8000000.0,-5149000000.0
NetOtherFinancingCharges,-1794000000.0,-140000000.0,-844000000.0,-61000000.0,-901000000.0
CashDividendsPaid,-1877000000.0,-1875000000.0,-1875000000.0,-1880000000.0,-1684000000.0
CommonStockDividendPaid,-1877000000.0,-1875000000.0,-1875000000.0,-1880000000.0,-1684000000.0
NetCommonStockIssuance,-1080000000.0,-808000000.0,-1645000000.0,-4555000000.0,-1445000000.0
CommonStockPayments,-1080000000.0,-808000000.0,-1645000000.0,-4555000000.0,-1445000000.0
NetIssuancePaymentsOfDebt,-1790000000.0,2804000000.0,-2637000000.0,6504000000.0,-1119000000.0
NetShortTermDebtIssuance,-1790000000.0,4554000000.0,-1762000000.0,2521000000.0,-468000000.0
NetLongTermDebtIssuance,0.0,-1750000000.0,-875000000.0,3983000000.0,-651000000.0
LongTermDebtPayments,0.0,-1750000000.0,-875000000.0,0.0,-651000000.0
LongTermDebtIssuance,0.0,0.0,0.0,3983000000.0,0.0
InvestingCashFlow,-7320000000.0,-7831000000.0,-6106000000.0,-5093000000.0,-8718000000.0
CashFlowFromContinuingInvestingActivities,-7320000000.0,-7831000000.0,-6106000000.0,-5093000000.0,-8718000000.0
NetOtherInvestingChanges,583000000.0,-665000000.0,-474000000.0,-132000000.0,-73000000.0
NetInvestmentPurchaseAndSale,128000000.0,24000000.0,,,267000000.0
SaleOfInvestment,128000000.0,24000000.0,,,267000000.0
NetBusinessPurchaseAndSale,,,,,-1899000000.0
SaleOfBusiness,,,,,
NetPPEPurchaseAndSale,-7978000000.0,-7190000000.0,-6407000000.0,-4961000000.0,-7013000000.0
SaleOfPPE,37000000.0,28000000.0,16000000.0,25000000.0,74000000.0
PurchaseOfPPE,-8015000000.0,-7218000000.0,-6423000000.0,-4986000000.0,-7087000000.0
OperatingCashFlow,14113000000.0,9100000000.0,12941000000.0,5411000000.0,13525000000.0
CashFlowFromContinuingOperatingActivities,14113000000.0,9100000000.0,12941000000.0,5411000000.0,13525000000.0
ChangeInWorkingCapital,2803000000.0,-902000000.0,2424000000.0,-3573000000.0,3688000000.0
ChangeInPayablesAndAccruedExpense,-4967000000.0,8383000000.0,2949000000.0,-3034000000.0,-3046000000.0
ChangeInAccruedExpense,713000000.0,2347000000.0,2174000000.0,-3627000000.0,1186000000.0
ChangeInPayable,-5680000000.0,6036000000.0,775000000.0,593000000.0,-4232000000.0
ChangeInAccountPayable,-5666000000.0,5975000000.0,1612000000.0,-310000000.0,-4178000000.0
ChangeInTaxPayable,-14000000.0,61000000.0,-837000000.0,903000000.0,-54000000.0
ChangeInIncomeTaxPayable,-14000000.0,61000000.0,-837000000.0,903000000.0,-54000000.0
ChangeInInventory,6778000000.0,-7562000000.0,148000000.0,-807000000.0,6445000000.0
ChangeInReceivables,992000000.0,-1723000000.0,-673000000.0,268000000.0,289000000.0
OtherNonCashItems,1103000000.0,1606000000.0,869000000.0,501000000.0,1204000000.0
DeferredTax,-33000000.0,759000000.0,1627000000.0,-76000000.0,-390000000.0
DeferredIncomeTax,-33000000.0,759000000.0,1627000000.0,-76000000.0,-390000000.0
DepreciationAmortizationDepletion,3741000000.0,3606000000.0,3487000000.0,3369000000.0,3374000000.0
DepreciationAndAmortization,3741000000.0,3606000000.0,3487000000.0,3369000000.0,3374000000.0
OperatingGainsLosses,2107000000.0,-2057000000.0,-2617000000.0,551000000.0,224000000.0
GainLossOnInvestmentSecurities,2107000000.0,-2057000000.0,-2617000000.0,551000000.0,224000000.0
NetIncomeFromContinuingOperations,4392000000.0,6088000000.0,7151000000.0,4639000000.0,5425000000.0
asOfDate,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
