,0,1,2,3,4
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.264322,0.256291,0.232643,0.226,0.220882
NormalizedEBITDA,10420000000.0,12476000000.0,13575000000.0,10000000000.0,11054000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0
ReconciledDepreciation,3741000000.0,3606000000.0,3487000000.0,3369000000.0,3374000000.0
ReconciledCostOfRevenue,143615000000.0,134706000000.0,132771000000.0,124303000000.0,136172000000.0
EBITDA,10420000000.0,12476000000.0,13575000000.0,10000000000.0,11054000000.0
EBIT,6679000000.0,8870000000.0,10088000000.0,6631000000.0,7680000000.0
NetInterestIncome,-621000000.0,-591000000.0,-675000000.0,-544000000.0,-602000000.0
InterestExpense,709000000.0,684000000.0,769000000.0,637000000.0,717000000.0
InterestIncome,88000000.0,93000000.0,94000000.0,93000000.0,115000000.0
NormalizedIncome,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0
TotalExpenses,181948000000.0,172800000000.0,170116000000.0,158474000000.0,172695000000.0
TotalOperatingIncomeAsReported,8708000000.0,6696000000.0,7286000000.0,7135000000.0,7859000000.0
DilutedAverageShares,8009000000.0,8011000000.0,8016000000.0,8051000000.0,8078000000.0
BasicAverageShares,7971000000.0,7974000000.0,7978000000.0,8011000000.0,8029000000.0
DilutedEPS,0.53,0.77,0.88,0.56,0.65
BasicEPS,0.53,0.77,0.88,0.56,0.65
DilutedNIAvailtoComStockholders,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0
NetIncomeCommonStockholders,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0
NetIncome,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0
MinorityInterests,-155000000.0,55000000.0,-125000000.0,-152000000.0,-171000000.0
NetIncomeIncludingNoncontrollingInterests,4392000000.0,6088000000.0,7151000000.0,4639000000.0,5425000000.0
NetIncomeContinuousOperations,4392000000.0,6088000000.0,7151000000.0,4639000000.0,5425000000.0
TaxProvision,1578000000.0,2098000000.0,2168000000.0,1355000000.0,1538000000.0
PretaxIncome,5970000000.0,8186000000.0,9319000000.0,5994000000.0,6963000000.0
OtherIncomeExpense,-2117000000.0,2081000000.0,2708000000.0,-597000000.0,-294000000.0
OtherNonOperatingIncomeExpenses,-2117000000.0,2081000000.0,2708000000.0,-597000000.0,-294000000.0
NetNonOperatingInterestIncomeExpense,-621000000.0,-591000000.0,-675000000.0,-544000000.0,-602000000.0
InterestExpenseNonOperating,709000000.0,684000000.0,769000000.0,637000000.0,717000000.0
InterestIncomeNonOperating,88000000.0,93000000.0,94000000.0,93000000.0,115000000.0
OperatingIncome,8708000000.0,6696000000.0,7286000000.0,7135000000.0,7859000000.0
OperatingExpense,38333000000.0,38094000000.0,37345000000.0,34171000000.0,36523000000.0
OtherOperatingExpenses,38333000000.0,38094000000.0,37345000000.0,34171000000.0,36523000000.0
SellingGeneralAndAdministration,,,,,36523000000.0
GrossProfit,47041000000.0,44790000000.0,44631000000.0,41306000000.0,44382000000.0
CostOfRevenue,143615000000.0,134706000000.0,132771000000.0,124303000000.0,136172000000.0
TotalRevenue,190656000000.0,179496000000.0,177402000000.0,165609000000.0,180554000000.0
OperatingRevenue,190656000000.0,179496000000.0,177402000000.0,165609000000.0,180554000000.0
asOfDate,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
